enzymes	genes	shortNames	MWs	subSystems	Std	HiT	LpH
O74935	YALI0F10857g	POX2	78.69014	Fatty acid metabolism // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome	0.00316754597453773	0.00165564730644533	0.00167332282111733
O74936	YALI0D24750g	POX3	78.00886	Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Fatty acid metabolism // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome	NaN	NaN	NaN
P18120	YALI0C00407g	LEU2	43.35849	2-Oxocarboxylic acid metabolism // Biosynthesis of amino acids // Biosynthesis of secondary metabolites // C5-Branched dibasic acid metabolism // Valine, leucine and isoleucine biosynthesis	0.000840909489829099	0.000511390079448455	0.000335365838601197
P29407	YALI0D12400g	PGK1	44.77182	Biosynthesis of amino acids // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Gluconeogenesis // Glycolysis // Biosynthesis of amino acids // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Gluconeogenesis // Glycolysis	0.00268586146288149	0.00205885445580192	0.00233984990557113
P30614	YALI0F09185g	PYK1	56.66722	Biosynthesis of amino acids // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Gluconeogenesis // Glycolysis // Purine metabolism // Pyruvate metabolism	0.00243674406809865	0.00239791459014503	0.00336774841962416
P34229	YALI0B15059g	FAS1	231.33977	Fatty acid biosynthesis // Fatty acid metabolism // Fatty acid biosynthesis // Fatty acid metabolism	0.00406824537926796	0.00222317819325738	0.00544075640626314
P38997	YALI0B15444g	LYS5	40.61175	Biosynthesis of amino acids // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Lysine biosynthesis // Lysine degradation	0.000424358502233891	0.000467294158697647	0.000515293110373134
P41555	YALI0C16885g	ICL1	60.0481	Biosynthesis of secondary metabolites // Carbon metabolism // Glyoxylate and dicarboxylate metabolism // Biosynthesis of secondary metabolites // Carbon metabolism // Glyoxylate and dicarboxylate metabolism	0.00181706855657437	0.00151291156789276	0.00209290757146192
P41923	YALI0F21527g	URA5	23.68155	Pyrimidine metabolism // Pyrimidine metabolism	NaN	NaN	3.79861899667782e-05
P59680	YALI0D16357g	PFK1	103.75224	Biosynthesis of amino acids // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Fructose and mannose metabolism // Galactose metabolism // Gluconeogenesis // Glycolysis // Pentose phosphate pathway // RNA degradation // Biosynthesis of amino acids // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Fructose and mannose metabolism // Galactose metabolism // Gluconeogenesis // Glycolysis // Pentose phosphate pathway // RNA degradation	0.00272911637426002	0.00173585685330175	0.0014926974878238
Q05493	YALI0E18568g	POT1	43.05867	Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Valine, leucine and isoleucine degradation // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Valine, leucine and isoleucine degradation // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Valine, leucine and isoleucine degradation // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Valine, leucine and isoleucine degradation // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Valine, leucine and isoleucine degradation // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Valine, leucine and isoleucine degradation // Fatty acid metabolism // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Valine, leucine and isoleucine degradation // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Valine, leucine and isoleucine degradation // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Valine, leucine and isoleucine degradation // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Valine, leucine and isoleucine degradation // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Valine, leucine and isoleucine degradation // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Valine, leucine and isoleucine degradation // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Valine, leucine and isoleucine degradation // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Valine, leucine and isoleucine degradation // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Valine, leucine and isoleucine degradation // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Valine, leucine and isoleucine degradation // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Valine, leucine and isoleucine degradation // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Valine, leucine and isoleucine degradation	0.00264719946166113	0.00134649336158618	0.00147799827071504
Q12724	YALI0E26741g	URA3	31.62953	Pyrimidine metabolism	NaN	NaN	1.83926007308194e-05
Q12725	YALI0F05390g	EXG1	48.27403	Starch and sucrose metabolism	NaN	NaN	NaN
Q12726	YALI0F31075g	LYS1	48.43616	2-Oxocarboxylic acid metabolism // Biosynthesis of amino acids // Biosynthesis of antibiotics // Lysine biosynthesis // Pyruvate metabolism // 2-Oxocarboxylic acid metabolism // Biosynthesis of amino acids // Biosynthesis of antibiotics // Lysine biosynthesis // Pyruvate metabolism	0.00103647184352262	0.00078099092055117	0.000974211601324227
Q6BZP5	YALI0F31999g	YALI0F31999g	63.00452	Biosynthesis of secondary metabolites // Carbon metabolism // Glyoxylate and dicarboxylate metabolism // Biosynthesis of secondary metabolites // Carbon metabolism // Glyoxylate and dicarboxylate metabolism	0.000595948611916905	0.00060599039199213	0.000824769971259257
Q6BZQ3	YALI0F31735g	YALI0_F31735g	100.99201	Glutathione metabolism // Purine metabolism // Pyrimidine metabolism // Glutathione metabolism // Purine metabolism // Pyrimidine metabolism // Glutathione metabolism // Purine metabolism // Pyrimidine metabolism // Glutathione metabolism // Purine metabolism // Pyrimidine metabolism // Glutathione metabolism // Purine metabolism // Pyrimidine metabolism // Glutathione metabolism // Purine metabolism // Pyrimidine metabolism // Pyrimidine metabolism // Pyrimidine metabolism	0.000327241993307643	0.000223600804667915	NaN
Q6BZS4	YALI0F31273g	YALI0_F31273g	24.06466	Pyrimidine metabolism	NaN	NaN	2.19915837984357e-05
Q6BZT7	YALI0F30987g	YALI0_F30987g	55.81989	Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Glyoxylate and dicarboxylate metabolism // Longevity regulating pathway - multiple species // MAPK signaling pathway - yeast // Peroxisome // Tryptophan metabolism // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Glyoxylate and dicarboxylate metabolism // Longevity regulating pathway - multiple species // MAPK signaling pathway - yeast // Peroxisome // Tryptophan metabolism	NaN	NaN	NaN
Q6BZU4	YALI0F30833g	YALI0_F30833g	32.04909	Amino sugar and nucleotide sugar metabolism	NaN	NaN	NaN
Q6BZU5	YALI0F30811g	YALI0_F30811g	36.4741	 	NaN	NaN	NaN
Q6BZU8	YALI0F30745g	YALI0_F30745g	108.67239	One carbon pool by folate // One carbon pool by folate // One carbon pool by folate // One carbon pool by folate // One carbon pool by folate // One carbon pool by folate // One carbon pool by folate // One carbon pool by folate // One carbon pool by folate // One carbon pool by folate // One carbon pool by folate // One carbon pool by folate	0.000246442610315706	0.00037039057504441	NaN
Q6BZV1	YALI0F30679g	YALI0_F30679g	43.685	Biotin metabolism // Fatty acid biosynthesis // Fatty acid metabolism // Oxidative phosphorylation // Biotin metabolism // Fatty acid biosynthesis // Fatty acid metabolism // Oxidative phosphorylation // Biotin metabolism // Fatty acid biosynthesis // Fatty acid metabolism // Oxidative phosphorylation // Biotin metabolism // Fatty acid biosynthesis // Fatty acid metabolism // Oxidative phosphorylation // Biotin metabolism // Fatty acid biosynthesis // Fatty acid metabolism // Oxidative phosphorylation // Biotin metabolism // Fatty acid biosynthesis // Fatty acid metabolism // Oxidative phosphorylation	NaN	4.20171946101438e-05	NaN
Q6BZW0	YALI0F30481g	YALI0_F30481g	48.96973	Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Butanoate metabolism // Synthesis and degradation of ketone bodies // Terpenoid backbone biosynthesis // Valine, leucine and isoleucine degradation // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Butanoate metabolism // Synthesis and degradation of ketone bodies // Terpenoid backbone biosynthesis // Valine, leucine and isoleucine degradation	0.00059863302785332	0.00042866564400102	0.000589776562658008
Q6BZW6	YALI0F30349g	YALI0_F30349g	36.87911	Purine metabolism	NaN	5.93151547573887e-05	5.21374951431875e-05
Q6BZX6	YALI0F30129g	YALI0_F30129g	31.89228	Biosynthesis of secondary metabolites // Nicotinate and nicotinamide metabolism // Purine metabolism // Pyrimidine metabolism // Biosynthesis of secondary metabolites // Nicotinate and nicotinamide metabolism // Purine metabolism // Pyrimidine metabolism // Biosynthesis of secondary metabolites // Nicotinate and nicotinamide metabolism // Purine metabolism // Pyrimidine metabolism // Nicotinate and nicotinamide metabolism // Biosynthesis of secondary metabolites // Nicotinate and nicotinamide metabolism // Purine metabolism // Pyrimidine metabolism // Biosynthesis of secondary metabolites // Nicotinate and nicotinamide metabolism // Purine metabolism // Pyrimidine metabolism // Biosynthesis of secondary metabolites // Nicotinate and nicotinamide metabolism // Purine metabolism // Pyrimidine metabolism // Nicotinate and nicotinamide metabolism	NaN	0.000207642017977064	0.000307931228384245
Q6BZY1	YALI0F30019g	YALI0_F30019g	141.74989	Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Purine metabolism	0.00145604816569605	0.00103117658865207	0.00139739461661998
Q6BZY3	YALI0F29975g	YALI0_F29975g	27.05277	Biosynthesis of antibiotics // Biosynthesis of unsaturated fatty acids // Biotin metabolism // Fatty acid biosynthesis // Fatty acid metabolism // Biosynthesis of antibiotics // Biosynthesis of unsaturated fatty acids // Biotin metabolism // Fatty acid biosynthesis // Fatty acid metabolism // Biosynthesis of antibiotics // Biosynthesis of unsaturated fatty acids // Biotin metabolism // Fatty acid biosynthesis // Fatty acid metabolism	NaN	NaN	NaN
Q6BZY8	YALI0F29843g	YALI0_F29843g	83.50531	Aminoacyl-tRNA biosynthesis // Selenocompound metabolism	0.000998421057747383	0.000738272162188218	0.000880167517349675
Q6BZZ9	YALI0F29337g	YALI0_F29337g	47.21749	2-Oxocarboxylic acid metabolism // Alanine, aspartate and glutamate metabolism // Arginine and proline metabolism // Arginine biosynthesis // Biosynthesis of amino acids // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Cysteine and methionine metabolism // Phenylalanine metabolism // Phenylalanine, tyrosine and tryptophan biosynthesis // Tyrosine metabolism // 2-Oxocarboxylic acid metabolism // Alanine, aspartate and glutamate metabolism // Arginine and proline metabolism // Arginine biosynthesis // Biosynthesis of amino acids // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Cysteine and methionine metabolism // Phenylalanine metabolism // Phenylalanine, tyrosine and tryptophan biosynthesis // Tyrosine metabolism // 2-Oxocarboxylic acid metabolism // Alanine, aspartate and glutamate metabolism // Arginine and proline metabolism // Arginine biosynthesis // Biosynthesis of amino acids // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Cysteine and methionine metabolism // Phenylalanine metabolism // Phenylalanine, tyrosine and tryptophan biosynthesis // Tyrosine metabolism // 2-Oxocarboxylic acid metabolism // Alanine, aspartate and glutamate metabolism // Arginine and proline metabolism // Arginine biosynthesis // Biosynthesis of amino acids // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Cysteine and methionine metabolism // Phenylalanine metabolism // Phenylalanine, tyrosine and tryptophan biosynthesis // Tyrosine metabolism // 2-Oxocarboxylic acid metabolism // Alanine, aspartate and glutamate metabolism // Arginine and proline metabolism // Arginine biosynthesis // Biosynthesis of amino acids // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Cysteine and methionine metabolism // Phenylalanine metabolism // Phenylalanine, tyrosine and tryptophan biosynthesis // Tyrosine metabolism // 2-Oxocarboxylic acid metabolism // Alanine, aspartate and glutamate metabolism // Arginine and proline metabolism // Arginine biosynthesis // Biosynthesis of amino acids // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Cysteine and methionine metabolism // Phenylalanine metabolism // Phenylalanine, tyrosine and tryptophan biosynthesis // Tyrosine metabolism // 2-Oxocarboxylic acid metabolism // Alanine, aspartate and glutamate metabolism // Arginine and proline metabolism // Arginine biosynthesis // Biosynthesis of amino acids // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Cysteine and methionine metabolism // Phenylalanine metabolism // Phenylalanine, tyrosine and tryptophan biosynthesis // Tyrosine metabolism // 2-Oxocarboxylic acid metabolism // Alanine, aspartate and glutamate metabolism // Arginine and proline metabolism // Arginine biosynthesis // Biosynthesis of amino acids // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Cysteine and methionine metabolism // Phenylalanine metabolism // Phenylalanine, tyrosine and tryptophan biosynthesis // Tyrosine metabolism // 2-Oxocarboxylic acid metabolism // Alanine, aspartate and glutamate metabolism // Arginine and proline metabolism // Arginine biosynthesis // Biosynthesis of amino acids // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Cysteine and methionine metabolism // Phenylalanine metabolism // Phenylalanine, tyrosine and tryptophan biosynthesis // Tyrosine metabolism	0.000951601868767109	0.000938790180351388	0.000786210052596785
Q6C009	YALI0F28765g	YALI0_F28765g	40.01402	Carbon metabolism // Glyoxylate and dicarboxylate metabolism	NaN	NaN	NaN
Q6C012	YALI0F28655g	YALI0_F28655g	194.77902	Amino sugar and nucleotide sugar metabolism	NaN	NaN	NaN
Q6C045	YALI0F27885g	YALI0_F27885g	91.12929	Fructose and mannose metabolism	NaN	NaN	NaN
Q6C055	YALI0F27665g	YALI0_F27665g	35.93117	Biosynthesis of antibiotics // Sulfur metabolism // Sulfur metabolism	0.000140264976065315	0.000260374247776772	0.000111390905803355
Q6C071	YALI0F27313g	YALI0_F27313g	28.72961	Biosynthesis of secondary metabolites // Ubiquinone and other terpenoid-quinone biosynthesis // Biosynthesis of secondary metabolites // Ubiquinone and other terpenoid-quinone biosynthesis // Biosynthesis of secondary metabolites // Ubiquinone and other terpenoid-quinone biosynthesis // Biosynthesis of secondary metabolites // Ubiquinone and other terpenoid-quinone biosynthesis // Biosynthesis of secondary metabolites // Ubiquinone and other terpenoid-quinone biosynthesis	NaN	1.55276185079557e-05	NaN
Q6C074	YALI0F27247g	COQ4	30.31296	Biosynthesis of secondary metabolites // Ubiquinone and other terpenoid-quinone biosynthesis // Biosynthesis of secondary metabolites // Ubiquinone and other terpenoid-quinone biosynthesis // Biosynthesis of secondary metabolites // Ubiquinone and other terpenoid-quinone biosynthesis // Biosynthesis of secondary metabolites // Ubiquinone and other terpenoid-quinone biosynthesis // Biosynthesis of secondary metabolites // Ubiquinone and other terpenoid-quinone biosynthesis	NaN	NaN	NaN
Q6C090	YALI0F26785g	YALI0_F26785g	31.48897	Nicotinate and nicotinamide metabolism // Nicotinate and nicotinamide metabolism //   //  	NaN	NaN	NaN
Q6C097	YALI0F26609g	HEM3	36.94623	Biosynthesis of secondary metabolites // Porphyrin and chlorophyll metabolism	NaN	NaN	NaN
Q6C098	YALI0F26587g	YALI0_F26587g	54.65193	Synthesis and degradation of ketone bodies // Synthesis and degradation of ketone bodies	0.000450910994770292	0.000215936264634984	0.000183932185732791
Q6C0A1	YALI0F26521g	ADK2	25.48998	Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Purine metabolism // Thiamine metabolism // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Purine metabolism // Thiamine metabolism // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Purine metabolism // Thiamine metabolism	NaN	NaN	NaN
Q6C0A4	YALI0F26455g	YALI0_F26455g	58.65083	Tryptophan metabolism	NaN	NaN	NaN
Q6C0A5	YALI0F26433g	YALI0_F26433g	72.68923	Aminoacyl-tRNA biosynthesis	NaN	NaN	NaN
Q6C0B4	YALI0F26191g	YALI0_F26191g	54.89896	Alanine, aspartate and glutamate metabolism // Butanoate metabolism // Lysine degradation // Nicotinate and nicotinamide metabolism // Tyrosine metabolism	0.00106002916966177	0.000714142732834136	0.000530127628558107
Q6C0B7	YALI0F26125g	YALI0_F26125g	23.76393	Purine metabolism	NaN	NaN	NaN
