enzymes	genes	enzNames	subSystems	Std_ecM	Std_ecP	HiT_ecM	HiT_ecP	LpH_ecM	LpH_ecP
O74934	YALI0E32835g	POX1	Fatty acid metabolism // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome	Inf	Inf	Inf	Inf	Inf	Inf
O74935	YALI0F10857g	POX2	Fatty acid metabolism // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome	Inf	0	Inf	0	Inf	0
O74936	YALI0D24750g	POX3	Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Fatty acid metabolism // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome	Inf	Inf	Inf	Inf	Inf	Inf
P18120	YALI0C00407g	LEU2	2-Oxocarboxylic acid metabolism // Biosynthesis of amino acids // Biosynthesis of secondary metabolites // C5-Branched dibasic acid metabolism // Valine, leucine and isoleucine biosynthesis	Inf	0.0666219052511706	Inf	0.109550408988431	Inf	0.167050384707861
P29407	YALI0D12400g	PGK1	Biosynthesis of amino acids // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Gluconeogenesis // Glycolysis // Biosynthesis of amino acids // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Gluconeogenesis // Glycolysis	Inf	0.00843662184799841	Inf	0.012590333891388	Inf	0.014132219230826
P30614	YALI0F09185g	PYK1	Biosynthesis of amino acids // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Gluconeogenesis // Glycolysis // Purine metabolism // Pyruvate metabolism	Inf	0.0379924345276292	Inf	0.0342750168828716	Inf	0.0299027450585218
P34229	YALI0B15059g	FAS1	Fatty acid biosynthesis // Fatty acid metabolism // Fatty acid biosynthesis // Fatty acid metabolism	Inf	0.0136738148392992	Inf	0.0250220311649597	Inf	0.0102243934267867
P38997	YALI0B15444g	LYS5	Biosynthesis of amino acids // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Lysine biosynthesis // Lysine degradation	Inf	0.0472225375815852	Inf	0.04288366320618	Inf	0.0388891000411286
P41555	YALI0C16885g	ICL1	Biosynthesis of secondary metabolites // Carbon metabolism // Glyoxylate and dicarboxylate metabolism // Biosynthesis of secondary metabolites // Carbon metabolism // Glyoxylate and dicarboxylate metabolism	Inf	0	Inf	0	Inf	0
P41923	YALI0F21527g	URA5	Pyrimidine metabolism // Pyrimidine metabolism	Inf	Inf	Inf	Inf	Inf	0.31440505126369
P59680	YALI0D16357g	PFK1	Biosynthesis of amino acids // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Fructose and mannose metabolism // Galactose metabolism // Gluconeogenesis // Glycolysis // Pentose phosphate pathway // RNA degradation // Biosynthesis of amino acids // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Fructose and mannose metabolism // Galactose metabolism // Gluconeogenesis // Glycolysis // Pentose phosphate pathway // RNA degradation	Inf	0.0255162882432155	Inf	0.0468008565840416	Inf	0.0705867150148962
Q05493	YALI0E18568g	POT1	Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Valine, leucine and isoleucine degradation // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Valine, leucine and isoleucine degradation // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Valine, leucine and isoleucine degradation // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Valine, leucine and isoleucine degradation // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Valine, leucine and isoleucine degradation // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Valine, leucine and isoleucine degradation // Fatty acid metabolism // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Valine, leucine and isoleucine degradation // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Valine, leucine and isoleucine degradation // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Valine, leucine and isoleucine degradation // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Valine, leucine and isoleucine degradation // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Valine, leucine and isoleucine degradation // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Valine, leucine and isoleucine degradation // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Valine, leucine and isoleucine degradation // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Valine, leucine and isoleucine degradation // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Valine, leucine and isoleucine degradation // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Valine, leucine and isoleucine degradation // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Valine, leucine and isoleucine degradation // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Valine, leucine and isoleucine degradation	Inf	2.84176055674946e-05	Inf	5.58688756336322e-05	Inf	5.08979419330279e-05
Q12724	YALI0E26741g	URA3	Pyrimidine metabolism	Inf	Inf	Inf	Inf	Inf	0.0164326234922923
Q12725	YALI0F05390g	EXG1	Starch and sucrose metabolism	Inf	Inf	Inf	Inf	Inf	Inf
Q12726	YALI0F31075g	LYS1	2-Oxocarboxylic acid metabolism // Biosynthesis of amino acids // Biosynthesis of antibiotics // Lysine biosynthesis // Pyruvate metabolism // 2-Oxocarboxylic acid metabolism // Biosynthesis of amino acids // Biosynthesis of antibiotics // Lysine biosynthesis // Pyruvate metabolism	Inf	0.702635953939199	Inf	0.93248508188889	Inf	0.74754024845806
Q6BZP5	YALI0F31999g	YALI0F31999g	Biosynthesis of secondary metabolites // Carbon metabolism // Glyoxylate and dicarboxylate metabolism // Biosynthesis of secondary metabolites // Carbon metabolism // Glyoxylate and dicarboxylate metabolism	Inf	0	Inf	0	Inf	0
Q6BZQ3	YALI0F31735g	YALI0_F31735g	Glutathione metabolism // Purine metabolism // Pyrimidine metabolism // Glutathione metabolism // Purine metabolism // Pyrimidine metabolism // Glutathione metabolism // Purine metabolism // Pyrimidine metabolism // Glutathione metabolism // Purine metabolism // Pyrimidine metabolism // Glutathione metabolism // Purine metabolism // Pyrimidine metabolism // Glutathione metabolism // Purine metabolism // Pyrimidine metabolism // Pyrimidine metabolism // Pyrimidine metabolism	Inf	1	Inf	1	Inf	Inf
Q6BZS4	YALI0F31273g	YALI0_F31273g	Pyrimidine metabolism	Inf	Inf	Inf	Inf	Inf	0
Q6BZT7	YALI0F30987g	YALI0_F30987g	Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Glyoxylate and dicarboxylate metabolism // Longevity regulating pathway - multiple species // MAPK signaling pathway - yeast // Peroxisome // Tryptophan metabolism // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Glyoxylate and dicarboxylate metabolism // Longevity regulating pathway - multiple species // MAPK signaling pathway - yeast // Peroxisome // Tryptophan metabolism	Inf	Inf	Inf	Inf	Inf	Inf
Q6BZU4	YALI0F30833g	YALI0_F30833g	Amino sugar and nucleotide sugar metabolism	Inf	Inf	Inf	Inf	Inf	Inf
Q6BZU5	YALI0F30811g	YALI0_F30811g	 	Inf	Inf	Inf	Inf	Inf	Inf
Q6BZU8	YALI0F30745g	YALI0_F30745g	One carbon pool by folate // One carbon pool by folate // One carbon pool by folate // One carbon pool by folate // One carbon pool by folate // One carbon pool by folate // One carbon pool by folate // One carbon pool by folate // One carbon pool by folate // One carbon pool by folate // One carbon pool by folate // One carbon pool by folate	Inf	0.471004441833392	Inf	1	Inf	Inf
Q6BZV1	YALI0F30679g	YALI0_F30679g	Biotin metabolism // Fatty acid biosynthesis // Fatty acid metabolism // Oxidative phosphorylation // Biotin metabolism // Fatty acid biosynthesis // Fatty acid metabolism // Oxidative phosphorylation // Biotin metabolism // Fatty acid biosynthesis // Fatty acid metabolism // Oxidative phosphorylation // Biotin metabolism // Fatty acid biosynthesis // Fatty acid metabolism // Oxidative phosphorylation // Biotin metabolism // Fatty acid biosynthesis // Fatty acid metabolism // Oxidative phosphorylation // Biotin metabolism // Fatty acid biosynthesis // Fatty acid metabolism // Oxidative phosphorylation	Inf	Inf	Inf	0	Inf	Inf
Q6BZW0	YALI0F30481g	YALI0_F30481g	Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Butanoate metabolism // Synthesis and degradation of ketone bodies // Terpenoid backbone biosynthesis // Valine, leucine and isoleucine degradation // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Butanoate metabolism // Synthesis and degradation of ketone bodies // Terpenoid backbone biosynthesis // Valine, leucine and isoleucine degradation	Inf	0.708913420769349	Inf	0.99	Inf	0.719558921854095
Q6BZW6	YALI0F30349g	YALI0_F30349g	Purine metabolism	Inf	Inf	Inf	0	Inf	0
Q6BZX6	YALI0F30129g	YALI0_F30129g	Biosynthesis of secondary metabolites // Nicotinate and nicotinamide metabolism // Purine metabolism // Pyrimidine metabolism // Biosynthesis of secondary metabolites // Nicotinate and nicotinamide metabolism // Purine metabolism // Pyrimidine metabolism // Biosynthesis of secondary metabolites // Nicotinate and nicotinamide metabolism // Purine metabolism // Pyrimidine metabolism // Nicotinate and nicotinamide metabolism // Biosynthesis of secondary metabolites // Nicotinate and nicotinamide metabolism // Purine metabolism // Pyrimidine metabolism // Biosynthesis of secondary metabolites // Nicotinate and nicotinamide metabolism // Purine metabolism // Pyrimidine metabolism // Biosynthesis of secondary metabolites // Nicotinate and nicotinamide metabolism // Purine metabolism // Pyrimidine metabolism // Nicotinate and nicotinamide metabolism	Inf	Inf	Inf	0	Inf	0
Q6BZY1	YALI0F30019g	YALI0_F30019g	Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Purine metabolism	Inf	0.130569963720888	Inf	0.184368185103313	Inf	0.136050442666432
Q6BZY3	YALI0F29975g	YALI0_F29975g	Biosynthesis of antibiotics // Biosynthesis of unsaturated fatty acids // Biotin metabolism // Fatty acid biosynthesis // Fatty acid metabolism // Biosynthesis of antibiotics // Biosynthesis of unsaturated fatty acids // Biotin metabolism // Fatty acid biosynthesis // Fatty acid metabolism // Biosynthesis of antibiotics // Biosynthesis of unsaturated fatty acids // Biotin metabolism // Fatty acid biosynthesis // Fatty acid metabolism	Inf	Inf	Inf	Inf	Inf	Inf
Q6BZY8	YALI0F29843g	YALI0_F29843g	Aminoacyl-tRNA biosynthesis // Selenocompound metabolism	Inf	0	Inf	0	Inf	0
Q6BZZ9	YALI0F29337g	YALI0_F29337g	2-Oxocarboxylic acid metabolism // Alanine, aspartate and glutamate metabolism // Arginine and proline metabolism // Arginine biosynthesis // Biosynthesis of amino acids // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Cysteine and methionine metabolism // Phenylalanine metabolism // Phenylalanine, tyrosine and tryptophan biosynthesis // Tyrosine metabolism // 2-Oxocarboxylic acid metabolism // Alanine, aspartate and glutamate metabolism // Arginine and proline metabolism // Arginine biosynthesis // Biosynthesis of amino acids // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Cysteine and methionine metabolism // Phenylalanine metabolism // Phenylalanine, tyrosine and tryptophan biosynthesis // Tyrosine metabolism // 2-Oxocarboxylic acid metabolism // Alanine, aspartate and glutamate metabolism // Arginine and proline metabolism // Arginine biosynthesis // Biosynthesis of amino acids // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Cysteine and methionine metabolism // Phenylalanine metabolism // Phenylalanine, tyrosine and tryptophan biosynthesis // Tyrosine metabolism // 2-Oxocarboxylic acid metabolism // Alanine, aspartate and glutamate metabolism // Arginine and proline metabolism // Arginine biosynthesis // Biosynthesis of amino acids // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Cysteine and methionine metabolism // Phenylalanine metabolism // Phenylalanine, tyrosine and tryptophan biosynthesis // Tyrosine metabolism // 2-Oxocarboxylic acid metabolism // Alanine, aspartate and glutamate metabolism // Arginine and proline metabolism // Arginine biosynthesis // Biosynthesis of amino acids // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Cysteine and methionine metabolism // Phenylalanine metabolism // Phenylalanine, tyrosine and tryptophan biosynthesis // Tyrosine metabolism // 2-Oxocarboxylic acid metabolism // Alanine, aspartate and glutamate metabolism // Arginine and proline metabolism // Arginine biosynthesis // Biosynthesis of amino acids // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Cysteine and methionine metabolism // Phenylalanine metabolism // Phenylalanine, tyrosine and tryptophan biosynthesis // Tyrosine metabolism // 2-Oxocarboxylic acid metabolism // Alanine, aspartate and glutamate metabolism // Arginine and proline metabolism // Arginine biosynthesis // Biosynthesis of amino acids // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Cysteine and methionine metabolism // Phenylalanine metabolism // Phenylalanine, tyrosine and tryptophan biosynthesis // Tyrosine metabolism // 2-Oxocarboxylic acid metabolism // Alanine, aspartate and glutamate metabolism // Arginine and proline metabolism // Arginine biosynthesis // Biosynthesis of amino acids // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Cysteine and methionine metabolism // Phenylalanine metabolism // Phenylalanine, tyrosine and tryptophan biosynthesis // Tyrosine metabolism // 2-Oxocarboxylic acid metabolism // Alanine, aspartate and glutamate metabolism // Arginine and proline metabolism // Arginine biosynthesis // Biosynthesis of amino acids // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Cysteine and methionine metabolism // Phenylalanine metabolism // Phenylalanine, tyrosine and tryptophan biosynthesis // Tyrosine metabolism	Inf	0.0223515927016002	Inf	0.0236305103549822	Inf	2.70532379748581e-06
Q6C009	YALI0F28765g	YALI0_F28765g	Carbon metabolism // Glyoxylate and dicarboxylate metabolism	Inf	Inf	Inf	Inf	Inf	Inf
Q6C012	YALI0F28655g	YALI0_F28655g	Amino sugar and nucleotide sugar metabolism	Inf	Inf	Inf	Inf	Inf	Inf
Q6C045	YALI0F27885g	YALI0_F27885g	Fructose and mannose metabolism	Inf	Inf	Inf	Inf	Inf	Inf
Q6C055	YALI0F27665g	YALI0_F27665g	Biosynthesis of antibiotics // Sulfur metabolism // Sulfur metabolism	Inf	0.126132288524944	Inf	0.0679481269060936	Inf	0.158827529980297
Q6C071	YALI0F27313g	YALI0_F27313g	Biosynthesis of secondary metabolites // Ubiquinone and other terpenoid-quinone biosynthesis // Biosynthesis of secondary metabolites // Ubiquinone and other terpenoid-quinone biosynthesis // Biosynthesis of secondary metabolites // Ubiquinone and other terpenoid-quinone biosynthesis // Biosynthesis of secondary metabolites // Ubiquinone and other terpenoid-quinone biosynthesis // Biosynthesis of secondary metabolites // Ubiquinone and other terpenoid-quinone biosynthesis	Inf	Inf	Inf	0	Inf	Inf
Q6C074	YALI0F27247g	COQ4	Biosynthesis of secondary metabolites // Ubiquinone and other terpenoid-quinone biosynthesis // Biosynthesis of secondary metabolites // Ubiquinone and other terpenoid-quinone biosynthesis // Biosynthesis of secondary metabolites // Ubiquinone and other terpenoid-quinone biosynthesis // Biosynthesis of secondary metabolites // Ubiquinone and other terpenoid-quinone biosynthesis // Biosynthesis of secondary metabolites // Ubiquinone and other terpenoid-quinone biosynthesis	Inf	Inf	Inf	Inf	Inf	Inf
Q6C090	YALI0F26785g	YALI0_F26785g	Nicotinate and nicotinamide metabolism // Nicotinate and nicotinamide metabolism //   //  	Inf	Inf	Inf	Inf	Inf	Inf
Q6C097	YALI0F26609g	HEM3	Biosynthesis of secondary metabolites // Porphyrin and chlorophyll metabolism	Inf	Inf	Inf	Inf	Inf	Inf
Q6C098	YALI0F26587g	YALI0_F26587g	Synthesis and degradation of ketone bodies // Synthesis and degradation of ketone bodies	Inf	0	Inf	0	Inf	0
Q6C0A1	YALI0F26521g	ADK2	Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Purine metabolism // Thiamine metabolism // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Purine metabolism // Thiamine metabolism // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Purine metabolism // Thiamine metabolism	Inf	Inf	Inf	Inf	Inf	Inf
Q6C0A4	YALI0F26455g	YALI0_F26455g	Tryptophan metabolism	Inf	Inf	Inf	Inf	Inf	Inf
Q6C0A5	YALI0F26433g	YALI0_F26433g	Aminoacyl-tRNA biosynthesis	Inf	Inf	Inf	Inf	Inf	Inf
Q6C0B4	YALI0F26191g	YALI0_F26191g	Alanine, aspartate and glutamate metabolism // Butanoate metabolism // Lysine degradation // Nicotinate and nicotinamide metabolism // Tyrosine metabolism	Inf	0	Inf	0	Inf	0
