rxns	rxnNames	grRules	subSystems	Std_GEM	Std_ecM	Std_ecP	HiT_GEM	HiT_ecM	HiT_ecP	LpH_GEM	LpH_ecM	LpH_ecP
y000012	1-pyrroline-5-carboxylate dehydrogenase	YALI0B09647g	Alanine, aspartate and glutamate metabolism//Arginine and proline metabolism	0	0	0	0	0	0	0	0	0
y000013	2,3-diketo-5-methylthio-1-phosphopentane degradation reaction	YALI0D16797g and YALI0A14498g	Cysteine and methionine metabolism	0	0	0	0	0	0	0	0	0
y000014	2,5-diamino-6-ribitylamino-4(3H)-pyrimidinone 5'-phosphate deaminase	YALI0F12199g	Riboflavin metabolism	0	0	0	0	0	0	0	0	0
y000015	2,5-diamino-6-ribosylamino-4(3H)-pyrimidinone 5'-phosphate reductase (NADPH)	YALI0D06501g	Riboflavin metabolism	0	0	0	0	0	0	0	0	0
y000016	2-aceto-2-hydroxybutanoate synthase	YALI0C00253g or (YALI0C09636g and YALI0C00253g)	2-Oxocarboxylic acid metabolism//Biosynthesis of amino acids//Biosynthesis of antibiotics//Biosynthesis of secondary metabolites//Butanoate metabolism//C5-Branched dibasic acid metabolism//Pantothenate and CoA biosynthesis//Valine, leucine and isoleucine biosynthesis	0.0232918921114031	0.0235234904023976	0.0209979	0.0209979	0.021208665791313	0.0209979	0.0209979	0.021208665791313	0.0209979
y000017	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase	YALI0A02541g	Folate biosynthesis	0	0	0	0	0	0	0	0	0
y000018	2-aminoadipate transaminase	YALI0E08360g or YALI0E20977g or YALI0E28787g	2-Oxocarboxylic acid metabolism//Biosynthesis of amino acids//Biosynthesis of antibiotics//Biosynthesis of secondary metabolites//Cysteine and methionine metabolism//Lysine biosynthesis//Phenylalanine metabolism//Phenylalanine, tyrosine and tryptophan biosynthesis//Tryptophan metabolism//Tyrosine metabolism//Ubiquinone and other terpenoid-quinone biosynthesis	0.0370451998343268	0.0374135151276143	0.03339666	0.03339666	0.033731845268121	0.03339666	0.03339666	0.033731845268121	0.03339666
y000019	2-dehydropantoate 2-reductase	YALI0F20900g	Biosynthesis of secondary metabolites//Pantothenate and CoA biosynthesis	0	0	0	0	0	0	0	0	0
y000020	2-deoxy-D-arabino-heptulosonate 7-phosphate synthetase	YALI0B20020g or YALI0C06952g	Biosynthesis of amino acids//Biosynthesis of antibiotics//Biosynthesis of secondary metabolites//Phenylalanine, tyrosine and tryptophan biosynthesis	0.0470274393106424	0.0474950750278166	0.04239576	0.04239576	0.042821331178626	0.04239576	0.04239576	0.042821331178626	0.04239576
y000021	2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase	YALI0F27247g and YALI0B15664g and YALI0A09042g and YALI0F27313g and YALI0C18205g and YALI0B15884g and YALI0E15224g	Biosynthesis of secondary metabolites//Ubiquinone and other terpenoid-quinone biosynthesis	0	0	0	0	0	0	0	0	0
y000022	2-hexaprenyl-6-methoxyphenol monooxygenase	YALI0F27247g and YALI0B15664g and YALI0A09042g and YALI0F27313g and YALI0C18205g and YALI0B15884g and YALI0E15224g	Biosynthesis of secondary metabolites//Ubiquinone and other terpenoid-quinone biosynthesis	0	0	0	0	0	0	0	0	0
y000023	2-isopropylmalate hydratase	YALI0B01364g	2-Oxocarboxylic acid metabolism//Biosynthesis of amino acids//Biosynthesis of secondary metabolites//Valine, leucine and isoleucine biosynthesis	-0.0466946979947652	-0.0471588923369948	-0.04209579	-0.04209579	-0.042518230481727	-0.04209579	-0.04209579	-0.042518230481727	-0.04209579
y000024	2-isopropylmalate synthase	YALI0B07447g	2-Oxocarboxylic acid metabolism//Biosynthesis of amino acids//Biosynthesis of secondary metabolites//Pyruvate metabolism//Valine, leucine and isoleucine biosynthesis	0	0	0	0	0	0	0	0	0
y000025	2-isopropylmalate synthase	YALI0B07447g	2-Oxocarboxylic acid metabolism//Biosynthesis of amino acids//Biosynthesis of secondary metabolites//Pyruvate metabolism//Valine, leucine and isoleucine biosynthesis	0.0466946979947652	0.0471588923369948	0.04209579	0.04209579	0.042518230481727	0.04209579	0.04209579	0.042518230481727	0.04209579
y000027	2-methylcitrate dehydratase	YALI0E02728g	2-Oxocarboxylic acid metabolism//Biosynthesis of amino acids//Biosynthesis of antibiotics//Lysine biosynthesis	0.0370451998343268	0.0374135151276143	0.03339666	0.03339666	0.033731845268121	0.03339666	0.03339666	0.033731845268121	0.03339666
y000028	2-methylcitrate synthase	YALI0E00638g or YALI0E02684g	2-Oxocarboxylic acid metabolism//Biosynthesis of amino acids//Biosynthesis of antibiotics//Biosynthesis of secondary metabolites//Carbon metabolism//Citrate cycle (TCA cycle)//Glyoxylate and dicarboxylate metabolism	0	0	0	0	0	0	0	0	0
y000029	2-oxo-4-methyl-3-carboxypentanoate decarboxylation	YALI0D01265g	2-Oxocarboxylic acid metabolism//Biosynthesis of amino acids//Biosynthesis of antibiotics//Biosynthesis of secondary metabolites//Cysteine and methionine metabolism//Pantothenate and CoA biosynthesis//Valine, leucine and isoleucine biosynthesis//Valine, leucine and isoleucine degradation	0.000289461061795976	0	0.04209579	5.22392087483059e-05	0.042518230481727	0.04209579	0.04209579	0.042518230481727	0.04209579
y000030	2-oxo-4-methyl-3-carboxypentanoate decarboxylation	YALI0D01265g	2-Oxocarboxylic acid metabolism//Biosynthesis of amino acids//Biosynthesis of antibiotics//Biosynthesis of secondary metabolites//Cysteine and methionine metabolism//Pantothenate and CoA biosynthesis//Valine, leucine and isoleucine biosynthesis//Valine, leucine and isoleucine degradation	0.0464052369329692	0.0471588923369948	0	0.0420435507912517	0	0	0	0	0
y000032	3',5'-bisphosphate nucleotidase	YALI0F27665g	Biosynthesis of antibiotics//Sulfur metabolism	0.0216281855320171	0.0218432490896232	0.01949805	0.01949805	0.019693768306212	0.01949805	0.01949805	0.019693768306212	0.01949805
y000033	3',5'-cyclic-nucleotide phosphodiesterase	YALI0A08041g or YALI0E32527g	Purine metabolism	0	0	0	0	0	0	0	0	0
y000034	3',5'-cyclic-nucleotide phosphodiesterase	YALI0A08041g	Purine metabolism	0	0	0	0	0	0	0	0	0
y000035	3',5'-cyclic-nucleotide phosphodiesterase	YALI0A08041g	Purine metabolism	0	0	0	0	0	0	0	0	0
y000036	3',5'-cyclic-nucleotide phosphodiesterase	YALI0A08041g	Purine metabolism	0	0	0	0	0	0	0	0	0
y000037	3',5'-cyclic-nucleotide phosphodiesterase	YALI0A08041g	Purine metabolism	0	0	0	0	0	0	0	0	0
y000038	3,4-dihydroxy-2-butanone-4-phosphate synthase	YALI0B08965g	Biosynthesis of secondary metabolites//Riboflavin metabolism	0	0	0	0	0	0	0	0	0
y000039	3-dehydroquinate dehydratase	YALI0F12639g	Biosynthesis of amino acids//Biosynthesis of antibiotics//Biosynthesis of secondary metabolites//Phenylalanine, tyrosine and tryptophan biosynthesis	0.0470274393106424	0.0474950750278166	0.04239576	0.04239576	0.042821331178626	0.04239576	0.04239576	0.042821331178626	0.04239576
y000040	3-dehydroquinate synthase	YALI0F12639g	Biosynthesis of amino acids//Biosynthesis of antibiotics//Biosynthesis of secondary metabolites//Phenylalanine, tyrosine and tryptophan biosynthesis	0.0470274393106424	0.0474950750278166	0.04239576	0.04239576	0.042821331178626	0.04239576	0.04239576	0.042821331178626	0.04239576
y000041	3-dehydrosphinganine reductase	YALI0B17688g	Sphingolipid metabolism	0	0	0	0	0	0	0	0	0
y000042	3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase	YALI0B20020g or YALI0C06952g	Biosynthesis of amino acids//Biosynthesis of antibiotics//Biosynthesis of secondary metabolites//Phenylalanine, tyrosine and tryptophan biosynthesis	0	0	0	0	0	0	0	0	0
y000045	3-hydroxy-L-kynurenine hydrolase	YALI0B22902g	Tryptophan metabolism	0	0	0	0	0	0	0	0	0
y000057	3-hydroxyacyl-CoA dehydrogenase (3-oxotetradecanoyl-CoA)	YALI0E15378g		3.87197528709076e-05	3.9107175943563e-05	3.49062882018927e-05	3.49062882018929e-05	3.52588417127318e-05	3.49062882018927e-05	3.49062882018929e-05	3.52588417127318e-05	3.49062882018926e-05
y000058	3-hydroxyanthranilate 3,4-dioxygenase	YALI0B02852g	Tryptophan metabolism	0	0	0	0	0	0	0	0	0
y000060	3-isopropylmalate dehydratase	YALI0B01364g	2-Oxocarboxylic acid metabolism//Biosynthesis of amino acids//Biosynthesis of secondary metabolites//Valine, leucine and isoleucine biosynthesis	-0.0466946979947652	-0.0471588923369948	-0.04209579	-0.04209579	-0.042518230481727	-0.04209579	-0.04209579	-0.042518230481727	-0.04209579
y000061	3-isopropylmalate dehydrogenase	YALI0C00407g	2-Oxocarboxylic acid metabolism//Biosynthesis of amino acids//Biosynthesis of secondary metabolites//C5-Branched dibasic acid metabolism//Valine, leucine and isoleucine biosynthesis	0.0466946979947652	0.0471588923369948	0.04209579	0.04209579	0.042518230481727	0.04209579	0.04209579	0.042518230481727	0.04209579
y000062	3-methyl-2-oxobutanoate decarboxylase	YALI0D06930g or YALI0D10131g	Biosynthesis of antibiotics//Biosynthesis of secondary metabolites//Gluconeogenesis//Glycolysis	0	0	0	0	0	0	0	0	0
y000063	3-methyl-2-oxobutanoate hydroxymethyltransferase	YALI0B18898g	Biosynthesis of secondary metabolites//Pantothenate and CoA biosynthesis	0	0	0	0	0	0	0	0	0
y000064	3-methyl-2-oxopentanoate decarboxylase	YALI0D06930g or YALI0D10131g	Biosynthesis of antibiotics//Biosynthesis of secondary metabolites//Gluconeogenesis//Glycolysis	0	0	0	0	0	0	0	0	0
y000065	3-phosphoshikimate 1-carboxyvinyltransferase	YALI0F12639g	Biosynthesis of amino acids//Biosynthesis of antibiotics//Biosynthesis of secondary metabolites//Phenylalanine, tyrosine and tryptophan biosynthesis	0.0470274393106424	0.0474950750278166	0.04239576	0.04239576	0.042821331178626	0.04239576	0.04239576	0.042821331178626	0.04239576
y000066	4-amino-4-deoxychorismate synthase	YALI0A05379g	Folate biosynthesis	0	0	0	0	0	0	0	0	0
y000067	4-aminobenzoate synthase	YALI0D16269g		0	0	0	0	0	0	0	0	0
y000068	4-aminobutyrate transaminase	YALI0E18238g	Alanine, aspartate and glutamate metabolism//Butanoate metabolism//Propanoate metabolism//Valine, leucine and isoleucine degradation//beta-Alanine metabolism	0	0	0	0	0	0	0	0	0
y000069	4-hydroxy-L-threonine synthase	YALI0F23221g	Biosynthesis of amino acids//Biosynthesis of secondary metabolites//Glycine, serine and threonine metabolism//Vitamin B6 metabolism	0	0	0	0	0	0	0	0	0
y000072	4-methyl-2-oxopentanoate decarboxylase	YALI0D10131g	Biosynthesis of antibiotics//Biosynthesis of secondary metabolites//Gluconeogenesis//Glycolysis	0	0	0	0	0	0	0	0	0
y000073	4PP-IP5 depyrophosphorylation to IP6	YALI0A04675g or YALI0B13464g		0	0	0	0	0	0	0	0	0
y000074	4PP-IP5 pyrophosphorylation to 4,5-PP2-IP4	YALI0F14025g	Autophagy - yeast//Phosphatidylinositol signaling system	0	0	0	0	0	0	0	0	0
y000075	5'-methylthioadenosine phosphorylase	YALI0B13420g	Cysteine and methionine metabolism	0	0	0	0	0	0	0	0	0
y000076	5'-nucleotidase (CMP)	YALI0F26785g	Nicotinate and nicotinamide metabolism	0	0	0	0	0	0	0	0	0
y000077	5'-nucleotidase (IMP)	YALI0E11913g	Nicotinate and nicotinamide metabolism//Purine metabolism	0	0	0	0	0	0	0	0	0
y000078	5'-nucleotidase (UMP)	YALI0F26785g	Nicotinate and nicotinamide metabolism	0	0	0	0	0	0	0	0	0
y000079	5'-phosphoribosylformyl glycinamidine synthetase	YALI0F30019g	Biosynthesis of antibiotics//Biosynthesis of secondary metabolites//Purine metabolism	0.0271405999983845	0.0274121640933295	0.0244675529999945	0.0244675529999903	0.0247146752852999	0.0244675529999956	0.0244675529999957	0.0247146752853035	0.0244675529999992
y000080	5,10-methylenetetrahydrofolate reductase (NADPH)	YALI0B00572g or YALI0B14465g	Carbon metabolism//One carbon pool by folate	0.0235471047006809	0.0237817046984137	0.02122797699	0.02122797699	0.021441470558508	0.02122797699	0.02122797699	0.021441470558508	0.02122797699
y000081	5-aminolevulinate synthase	YALI0C06083g	Biosynthesis of secondary metabolites//Glycine, serine and threonine metabolism//Porphyrin and chlorophyll metabolism	0	0	0	0	0	0	0	0	0
y000082	5-diphosphoinositol-1,2,3,4,6-pentakisphosphate diphosphohydrolase	YALI0A04675g		0	0	0	0	0	0	0	0	0
y000083	5-diphosphoinositol-1,2,3,4,6-pentakisphosphate synthase	YALI0F14025g	Autophagy - yeast//Phosphatidylinositol signaling system	0	0	0	0	0	0	0	0	0
y000084	5-formethyltetrahydrofolate cyclo-ligase	YALI0D01309g	One carbon pool by folate	0	0	0	0	0	0	0	0	0
y000085	5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase	YALI0E12683g	Biosynthesis of amino acids//Biosynthesis of secondary metabolites//Cysteine and methionine metabolism//Selenocompound metabolism	0	0	0	0	0	0	0	0	0
y000086	5-methylthio-5-deoxy-D-ribulose 1-phosphate dehydratase	YALI0C20427g		0	0	0	0	0	0	0	0	0
y000087	5-methylthioribose-1-phosphate isomerase	YALI0A16698g		0	0	0	0	0	0	0	0	0
y000088	5PP-IP5 pyrophosphorylation to 4,5-PP2-IP4	YALI0B13464g		0	0	0	0	0	0	0	0	0
y000089	5PP-IP5 pyrophosphorylation to 5,6-PP2-IP4	YALI0B13464g		0	0	0	0	0	0	0	0	0
y000090	6-phosphofructo-2-kinase	YALI0F27885g	Fructose and mannose metabolism	0	0	0	0	0	0	0	0	0
y000091	6-phosphogluconolactonase	YALI0C19085g or YALI0E11671g	Biosynthesis of antibiotics//Biosynthesis of secondary metabolites//Carbon metabolism//Pentose phosphate pathway	0.317148529211442	0.320108806620227	0.237460829832606	0.0586099130383529	0.588304377691879	0.13296470342573	0	0.588304377691882	0
y000092	6PP-IP5 depyrophosphorylation to IP6	YALI0A04675g or YALI0B13464g		0	0	0	0	0	0	0	0	0
y000093	6PP-IP5 pyrophosphorylation to 5,6-PP2-IP4	YALI0F14025g	Autophagy - yeast//Phosphatidylinositol signaling system	0	0	0	0	0	0	0	0	0
y000095	acetaldehyde condensation	YALI0D06930g or YALI0D10131g	Biosynthesis of antibiotics//Biosynthesis of secondary metabolites//Gluconeogenesis//Glycolysis	0	0	0	0	0	0	0	0	0
y000096	acetohydroxy acid isomeroreductase	YALI0D03135g	2-Oxocarboxylic acid metabolism//Biosynthesis of amino acids//Biosynthesis of antibiotics//Biosynthesis of secondary metabolites//Pantothenate and CoA biosynthesis//Valine, leucine and isoleucine biosynthesis	0.0790815194068113	0.0798677541935519	0.07129287	0.07129287	0.072008382991545	0.07129287	0.07129287	0.072008382991545	0.07129287
y000097	acetolactate synthase	YALI0C00253g or (YALI0C09636g and YALI0C00253g)	2-Oxocarboxylic acid metabolism//Biosynthesis of amino acids//Biosynthesis of antibiotics//Biosynthesis of secondary metabolites//Butanoate metabolism//C5-Branched dibasic acid metabolism//Pantothenate and CoA biosynthesis//Valine, leucine and isoleucine biosynthesis	0.0790815194068113	0.0798677541935519	0.07129287	0.07129287	0.072008382991545	0.07129287	0.07129287	0.072008382991545	0.07129287
y000099	acetyl-CoA ACP transacylase	(YALI0F30679g and YALI0A19096g and YALI0C19624g and YALI0D14850g) or (YALI0D24629g and YALI0F29975g and YALI0E18590g)	Oxidative phosphorylation	0	0	0	0	0	0	0	0	0
y000100	acetyl-CoA C-acyltransferase (palmitoyl-CoA)	YALI0E18568g	Biosynthesis of antibiotics//Biosynthesis of secondary metabolites//Biosynthesis of unsaturated fatty acids//Fatty acid degradation//Fatty acid metabolism//Peroxisome//Valine, leucine and isoleucine degradation	0	0	0	0	0	0	0	0	0
y000101	acetyl-CoA C-acyltransferase (tetracosanoyl-CoA)	YALI0E18568g	Biosynthesis of antibiotics//Biosynthesis of secondary metabolites//Biosynthesis of unsaturated fatty acids//Fatty acid degradation//Fatty acid metabolism//Peroxisome//Valine, leucine and isoleucine degradation	0	0	0	0	0	0	0	0	0
y000102	acetyl-CoA C-acyltransferase (myristoyl-CoA)	YALI0E18568g	Biosynthesis of antibiotics//Biosynthesis of secondary metabolites//Biosynthesis of unsaturated fatty acids//Fatty acid degradation//Fatty acid metabolism//Peroxisome//Valine, leucine and isoleucine degradation	6.45329214515126e-05	6.5178626572605e-05	5.81771470031546e-05	5.81771470031549e-05	5.87647361878864e-05	5.81771470031546e-05	5.81771470031548e-05	5.87647361878864e-05	5.81771470031544e-05
y000103	acetyl-CoA C-acetyltransferase	YALI0B08536g or YALI0E11099g	Biosynthesis of antibiotics//Biosynthesis of secondary metabolites//Butanoate metabolism//Carbon metabolism//Fatty acid degradation//Fatty acid metabolism//Glyoxylate and dicarboxylate metabolism//Lysine degradation//Propanoate metabolism//Pyruvate metabolism//Synthesis and degradation of ketone bodies//Terpenoid backbone biosynthesis//Tryptophan metabolism//Valine, leucine and isoleucine degradation	0	0	0	0	0	0	0	0	0
y000104	acetyl-CoA C-acetyltransferase	YALI0B08536g or YALI0E11099g	Biosynthesis of antibiotics//Biosynthesis of secondary metabolites//Butanoate metabolism//Carbon metabolism//Fatty acid degradation//Fatty acid metabolism//Glyoxylate and dicarboxylate metabolism//Lysine degradation//Propanoate metabolism//Pyruvate metabolism//Synthesis and degradation of ketone bodies//Terpenoid backbone biosynthesis//Tryptophan metabolism//Valine, leucine and isoleucine degradation	0.0143617806758911	0.0145054821405366	0.01294730514	0.01294730514	0.013078072921914	0.01294730514	0.01294730514	0.013078072921914	0.01294730514
y000105	acetyl-CoA C-acyltransferase (lauroyl-CoA)	YALI0E18568g	Biosynthesis of antibiotics//Biosynthesis of secondary metabolites//Biosynthesis of unsaturated fatty acids//Fatty acid degradation//Fatty acid metabolism//Peroxisome//Valine, leucine and isoleucine degradation	3.87197528709076e-05	3.9107175943563e-05	3.49062882018927e-05	3.49062882018929e-05	3.52588417127318e-05	3.49062882018927e-05	3.49062882018929e-05	3.52588417127318e-05	3.49062882018926e-05
y000106	acetyl-CoA C-acyltransferase (octanoyl-CoA)	YALI0E18568g	Biosynthesis of antibiotics//Biosynthesis of secondary metabolites//Biosynthesis of unsaturated fatty acids//Fatty acid degradation//Fatty acid metabolism//Peroxisome//Valine, leucine and isoleucine degradation	0	0	0	0	0	0	0	0	0
y000107	acetyl-CoA C-acyltransferase (decanoyl-CoA)	YALI0E18568g	Biosynthesis of antibiotics//Biosynthesis of secondary metabolites//Biosynthesis of unsaturated fatty acids//Fatty acid degradation//Fatty acid metabolism//Peroxisome//Valine, leucine and isoleucine degradation	0	0	0	0	0	0	0	0	0
y000108	acetyl-Coa carboxylase	YALI0C11407g	Biosynthesis of secondary metabolites//Fatty acid biosynthesis//Fatty acid metabolism//Propanoate metabolism//Pyruvate metabolism	0	0	0	0	0	0	0	0	0
y000109	acetyl-CoA carboxylase, reaction	YALI0E30591g and YALI0C11407g	Biosynthesis of secondary metabolites//Biotin metabolism//Fatty acid biosynthesis//Fatty acid metabolism//Propanoate metabolism//Pyruvate metabolism	0.096024778587964	0.0969855857216159	0.0865674067468767	0.0865674067468775	0.0874417375550204	0.0865674067468771	0.0865674067468774	0.0874417375550204	0.0865674067468767
y000111	acetyl-CoA hydrolase	YALI0E30965g	Pyruvate metabolism	0	0	0	0	0	0	0	0	0
y000112	acetyl-CoA synthetase	YALI0F05962g	Biosynthesis of antibiotics//Biosynthesis of secondary metabolites//Carbon metabolism//Gluconeogenesis//Glycolysis//Propanoate metabolism//Pyruvate metabolism	0.175091768290649	0.17685143551472	0.01938805	0.157847178056878	0.019588768306212	0.01938805	0.01949805	0.019588768306212	0.01938805
y000113	acetyl-CoA synthetase	YALI0F05962g	Biosynthesis of antibiotics//Biosynthesis of secondary metabolites//Carbon metabolism//Gluconeogenesis//Glycolysis//Propanoate metabolism//Pyruvate metabolism	0	0	0	0	0	0	0	0	0
y000114	acetyl-CoA synthetase nuclear	YALI0F05962g	Biosynthesis of antibiotics//Biosynthesis of secondary metabolites//Carbon metabolism//Gluconeogenesis//Glycolysis//Propanoate metabolism//Pyruvate metabolism	0	0	0	0	0	0	0	0	0
y000115	acetylglutamate kinase	YALI0B17666g	2-Oxocarboxylic acid metabolism//Arginine biosynthesis//Biosynthesis of amino acids//Biosynthesis of antibiotics//Biosynthesis of secondary metabolites	0.0253992537786252	0.0256518259381934	0.02289771	0.02289771	0.023127562872414	0.02289771	0.02289771	0.023127562872414	0.02289771
y000116	acid phosphatase (secreted)	YALI0C06930g	Cell cycle - yeast//Riboflavin metabolism//Thiamine metabolism	0	0	0	0	0	0	0	0	0
y000117	aconitase	YALI0F02497g	Propanoate metabolism	0	0	0	0	0	0	0	0	0
y000118	acteylornithine transaminase	YALI0D22847g	2-Oxocarboxylic acid metabolism//Arginine biosynthesis//Biosynthesis of amino acids//Biosynthesis of antibiotics//Biosynthesis of secondary metabolites	0.0253992537786252	0.0256518259381934	0.02289771	0.02289771	0.023127562872414	0.02289771	0.02289771	0.023127562872414	0.02289771
y000120	acyl-CoA oxidase (decanoyl-CoA)	YALI0D24750g	Biosynthesis of secondary metabolites//Biosynthesis of unsaturated fatty acids//Fatty acid degradation//Fatty acid metabolism//Peroxisome	0	0	0	0	0	0	0	0	0
y000121	acyl-CoA oxidase (dodecanoyl-CoA)	YALI0D24750g	Biosynthesis of secondary metabolites//Biosynthesis of unsaturated fatty acids//Fatty acid degradation//Fatty acid metabolism//Peroxisome	0	0	0	0	0	0	0	0	0
y000122	acyl-CoA oxidase (hexacosanoyl-CoA)	YALI0D24750g	Biosynthesis of secondary metabolites//Biosynthesis of unsaturated fatty acids//Fatty acid degradation//Fatty acid metabolism//Peroxisome	0	0	0	0	0	0	0	0	0
y000123	acyl-CoA oxidase (hexadecanoyl-CoA)	YALI0D24750g	Biosynthesis of secondary metabolites//Biosynthesis of unsaturated fatty acids//Fatty acid degradation//Fatty acid metabolism//Peroxisome	6.45329214515126e-05	6.5178626572605e-05	5.81771470031546e-05	5.81771470031549e-05	5.87647361878864e-05	5.81771470031546e-05	5.81771470031548e-05	5.87647361878864e-05	5.81771470031544e-05
y000124	acyl-CoA oxidase (octadecanoyl-CoA)	YALI0D24750g	Biosynthesis of secondary metabolites//Biosynthesis of unsaturated fatty acids//Fatty acid degradation//Fatty acid metabolism//Peroxisome	0	0	0	0	0	0	0	0	0
y000125	acyl-CoA oxidase (tetradecanoyl-CoA)	YALI0D24750g	Biosynthesis of secondary metabolites//Biosynthesis of unsaturated fatty acids//Fatty acid degradation//Fatty acid metabolism//Peroxisome	3.87197528709076e-05	3.9107175943563e-05	3.49062882018927e-05	3.49062882018929e-05	3.52588417127318e-05	3.49062882018927e-05	3.49062882018929e-05	3.52588417127318e-05	3.49062882018926e-05
y000127	acyl-CoA:sterol acyltransferase (oleoyl-CoA:ergosterol), ER membrane	YALI0F06578g	Steroid biosynthesis	3.3828700447514e-05	3.41671845053802e-05	3.049695e-05	3.049695e-05	3.0804969195e-05	3.049695e-05	3.049695e-05	3.0804969195e-05	3.049695e-05
y000132	acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:ergosterol), ER membrane	YALI0F06578g	Steroid biosynthesis	1.10913771959062e-05	1.12023555755345e-05	9.999e-06	9.999e-06	1.00999899e-05	9.999e-06	9.999e-06	1.00999899e-05	9.999e-06
y000137	acylation of GPI inositol at 2 position, GPI-anchor assembly, step 3	YALI0C23793g	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	0	0	0	0	0	0	0	0	0
y000139	adenine phosphoribosyltransferase	YALI0D05797g	Purine metabolism	0	0	0	0	0	0	0	0	0
y000142	adenosine kinase	YALI0F23463g	Purine metabolism	0.00713186645073966	0.00720322665862443	0.00642945699	0.00642945699	0.006494394505599	0.00642945699	0.00642945699	0.006494394505599	0.00642945699
y000143	adenosine monophosphate deaminase	YALI0E11495g	Biosynthesis of antibiotics//Biosynthesis of secondary metabolites//Purine metabolism	0	0	0	0	0	0	0	0	0
y000144	adenosylhomocysteinase	YALI0F11759g	Cysteine and methionine metabolism	0.00713186645073966	0.00720322665862443	0.00642945699	0.00642945699	0.006494394505599	0.00642945699	0.00642945699	0.006494394505599	0.00642945699
