enzymes	genes	enzNames	subSystems	Std_ecM	Std_ecP	HiT_ecM	HiT_ecP	LpH_ecM	LpH_ecP
O74936	YALI0D24750g	POX3	Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Fatty acid metabolism // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome	1.49672939130002e-09	1.33595091520694e-09	1.34944401945053e-09	1.33595091520694e-09	1.34944401945053e-09	1.33595091520694e-09
P18120	YALI0C00407g	LEU2	2-Oxocarboxylic acid metabolism // Biosynthesis of amino acids // Biosynthesis of secondary metabolites // C5-Branched dibasic acid metabolism // Valine, leucine and isoleucine biosynthesis	1.44749504139172e-06	1.29208817826e-06	1.30505456640613e-06	1.29208817826e-06	1.30505456640613e-06	1.29208817826e-06
P29407	YALI0D12400g	PGK1	Biosynthesis of amino acids // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Gluconeogenesis // Glycolysis // Biosynthesis of amino acids // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Gluconeogenesis // Glycolysis	4.65458881433773e-07	5.06112941096497e-07	4.59624187310618e-07	5.78972778687984e-07	4.59647757599189e-07	7.38573322075329e-07
P30614	YALI0F09185g	PYK1	Biosynthesis of amino acids // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Gluconeogenesis // Glycolysis // Purine metabolism // Pyruvate metabolism	1.16782193061109e-06	1.63371062614024e-06	1.67410287085588e-06	1.45037224449876e-06	1.67420071672824e-06	1.77712833651026e-06
P34229	YALI0B15059g	FAS1	Fatty acid biosynthesis // Fatty acid metabolism // Fatty acid biosynthesis // Fatty acid metabolism	2.41928942845118e-07	2.40462044364203e-07	2.42890711012283e-07	2.40462044364205e-07	2.42890711012283e-07	2.40462044364203e-07
P38997	YALI0B15444g	LYS5	Biosynthesis of amino acids // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Lysine biosynthesis // Lysine degradation	5.52784686010501e-07	4.934356515e-07	4.98388013836488e-07	4.934356515e-07	4.98388013836488e-07	4.934356515e-07
P41555	YALI0C16885g	ICL1	Biosynthesis of secondary metabolites // Carbon metabolism // Glyoxylate and dicarboxylate metabolism // Biosynthesis of secondary metabolites // Carbon metabolism // Glyoxylate and dicarboxylate metabolism	0	0	0	0	0	0
P41923	YALI0F21527g	URA5	Pyrimidine metabolism // Pyrimidine metabolism	5.65012311974787e-07	5.0431876308e-07	5.09412382587108e-07	5.0431876308e-07	5.09412382587108e-07	5.0431876308e-07
P59680	YALI0D16357g	PFK1	Biosynthesis of amino acids // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Fructose and mannose metabolism // Galactose metabolism // Gluconeogenesis // Glycolysis // Pentose phosphate pathway // RNA degradation // Biosynthesis of amino acids // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Fructose and mannose metabolism // Galactose metabolism // Gluconeogenesis // Glycolysis // Pentose phosphate pathway // RNA degradation	6.07950304091562e-07	6.71184738323703e-07	5.82306542582821e-07	7.83015264458876e-07	6.74759412549917e-07	1.01554060111348e-06
Q05493	YALI0E18568g	POT1	Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Valine, leucine and isoleucine degradation // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Valine, leucine and isoleucine degradation // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Valine, leucine and isoleucine degradation // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Valine, leucine and isoleucine degradation // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Valine, leucine and isoleucine degradation // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Valine, leucine and isoleucine degradation // Fatty acid metabolism // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Valine, leucine and isoleucine degradation // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Valine, leucine and isoleucine degradation // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Valine, leucine and isoleucine degradation // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Valine, leucine and isoleucine degradation // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Valine, leucine and isoleucine degradation // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Valine, leucine and isoleucine degradation // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Valine, leucine and isoleucine degradation // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Valine, leucine and isoleucine degradation // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Valine, leucine and isoleucine degradation // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Valine, leucine and isoleucine degradation // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Valine, leucine and isoleucine degradation // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Valine, leucine and isoleucine degradation	1.95734022742596e-09	1.74708299536353e-09	1.7647285336167e-09	1.74708299536353e-09	1.7647285336167e-09	1.74708299536353e-09
Q12724	YALI0E26741g	URA3	Pyrimidine metabolism	1.07055773714881e-08	9.55558564587e-09	9.65209706089329e-09	9.55558564587e-09	9.65209706089329e-09	9.55558564587e-09
Q12725	YALI0F05390g	EXG1	Starch and sucrose metabolism	0	0	0	0	0	0
Q12726	YALI0F31075g	LYS1	2-Oxocarboxylic acid metabolism // Biosynthesis of amino acids // Biosynthesis of antibiotics // Lysine biosynthesis // Pyruvate metabolism // 2-Oxocarboxylic acid metabolism // Biosynthesis of amino acids // Biosynthesis of antibiotics // Lysine biosynthesis // Pyruvate metabolism	1.68439386456032e-05	1.50355102986e-05	1.51864140581608e-05	1.50355102986e-05	1.51864140581608e-05	1.50355102986e-05
Q6BZP5	YALI0F31999g	YALI0F31999g	Biosynthesis of secondary metabolites // Carbon metabolism // Glyoxylate and dicarboxylate metabolism // Biosynthesis of secondary metabolites // Carbon metabolism // Glyoxylate and dicarboxylate metabolism	0	0	0	0	0	0
Q6BZQ3	YALI0F31735g	YALI0_F31735g	Glutathione metabolism // Purine metabolism // Pyrimidine metabolism // Glutathione metabolism // Purine metabolism // Pyrimidine metabolism // Glutathione metabolism // Purine metabolism // Pyrimidine metabolism // Glutathione metabolism // Purine metabolism // Pyrimidine metabolism // Glutathione metabolism // Purine metabolism // Pyrimidine metabolism // Glutathione metabolism // Purine metabolism // Pyrimidine metabolism // Pyrimidine metabolism // Pyrimidine metabolism	8.15493397889954e-06	3.24027607043015e-06	0	2.21404450379703e-06	0	0
Q6BZS4	YALI0F31273g	YALI0_F31273g	Pyrimidine metabolism	0	0	0	0	0	0
Q6BZT7	YALI0F30987g	YALI0_F30987g	Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Glyoxylate and dicarboxylate metabolism // Longevity regulating pathway - multiple species // MAPK signaling pathway - yeast // Peroxisome // Tryptophan metabolism // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Glyoxylate and dicarboxylate metabolism // Longevity regulating pathway - multiple species // MAPK signaling pathway - yeast // Peroxisome // Tryptophan metabolism	0	0	9.27144802315967e-11	0	6.36803428369419e-11	0
Q6BZU4	YALI0F30833g	YALI0_F30833g	Amino sugar and nucleotide sugar metabolism	0	0	0	0	0	0
Q6BZU5	YALI0F30811g	YALI0_F30811g	 	0	0	0	0	0	0
Q6BZU8	YALI0F30745g	YALI0_F30745g	One carbon pool by folate // One carbon pool by folate // One carbon pool by folate // One carbon pool by folate // One carbon pool by folate // One carbon pool by folate // One carbon pool by folate // One carbon pool by folate // One carbon pool by folate // One carbon pool by folate // One carbon pool by folate // One carbon pool by folate	1.89162030683379e-06	1.06812378117122e-06	0	3.40832271236889e-06	0	0
Q6BZV1	YALI0F30679g	YALI0_F30679g	Biotin metabolism // Fatty acid biosynthesis // Fatty acid metabolism // Oxidative phosphorylation // Biotin metabolism // Fatty acid biosynthesis // Fatty acid metabolism // Oxidative phosphorylation // Biotin metabolism // Fatty acid biosynthesis // Fatty acid metabolism // Oxidative phosphorylation // Biotin metabolism // Fatty acid biosynthesis // Fatty acid metabolism // Oxidative phosphorylation // Biotin metabolism // Fatty acid biosynthesis // Fatty acid metabolism // Oxidative phosphorylation // Biotin metabolism // Fatty acid biosynthesis // Fatty acid metabolism // Oxidative phosphorylation	0	0	0	0	0	0
Q6BZW0	YALI0F30481g	YALI0_F30481g	Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Butanoate metabolism // Synthesis and degradation of ketone bodies // Terpenoid backbone biosynthesis // Valine, leucine and isoleucine degradation // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Butanoate metabolism // Synthesis and degradation of ketone bodies // Terpenoid backbone biosynthesis // Valine, leucine and isoleucine degradation	9.70909941594675e-06	8.6661492224076e-06	8.75367732955392e-06	8.6661492224076e-06	8.75367732955392e-06	8.6661492224076e-06
Q6BZW6	YALI0F30349g	YALI0_F30349g	Purine metabolism	0	0	0	0	0	0
Q6BZX6	YALI0F30129g	YALI0_F30129g	Biosynthesis of secondary metabolites // Nicotinate and nicotinamide metabolism // Purine metabolism // Pyrimidine metabolism // Biosynthesis of secondary metabolites // Nicotinate and nicotinamide metabolism // Purine metabolism // Pyrimidine metabolism // Biosynthesis of secondary metabolites // Nicotinate and nicotinamide metabolism // Purine metabolism // Pyrimidine metabolism // Nicotinate and nicotinamide metabolism // Biosynthesis of secondary metabolites // Nicotinate and nicotinamide metabolism // Purine metabolism // Pyrimidine metabolism // Biosynthesis of secondary metabolites // Nicotinate and nicotinamide metabolism // Purine metabolism // Pyrimidine metabolism // Biosynthesis of secondary metabolites // Nicotinate and nicotinamide metabolism // Purine metabolism // Pyrimidine metabolism // Nicotinate and nicotinamide metabolism	0	0	0	0	0	0
Q6BZY1	YALI0F30019g	YALI0_F30019g	Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Purine metabolism	1.50261970450713e-06	1.3412084917371e-06	1.35475469750394e-06	1.34120849173716e-06	1.35475469750414e-06	1.34120849173736e-06
Q6BZY3	YALI0F29975g	YALI0_F29975g	Biosynthesis of antibiotics // Biosynthesis of unsaturated fatty acids // Biotin metabolism // Fatty acid biosynthesis // Fatty acid metabolism // Biosynthesis of antibiotics // Biosynthesis of unsaturated fatty acids // Biotin metabolism // Fatty acid biosynthesis // Fatty acid metabolism // Biosynthesis of antibiotics // Biosynthesis of unsaturated fatty acids // Biotin metabolism // Fatty acid biosynthesis // Fatty acid metabolism	0	0	0	0	0	0
Q6BZY8	YALI0F29843g	YALI0_F29843g	Aminoacyl-tRNA biosynthesis // Selenocompound metabolism	0	0	0	0	0	0
Q6BZZ9	YALI0F29337g	YALI0_F29337g	2-Oxocarboxylic acid metabolism // Alanine, aspartate and glutamate metabolism // Arginine and proline metabolism // Arginine biosynthesis // Biosynthesis of amino acids // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Cysteine and methionine metabolism // Phenylalanine metabolism // Phenylalanine, tyrosine and tryptophan biosynthesis // Tyrosine metabolism // 2-Oxocarboxylic acid metabolism // Alanine, aspartate and glutamate metabolism // Arginine and proline metabolism // Arginine biosynthesis // Biosynthesis of amino acids // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Cysteine and methionine metabolism // Phenylalanine metabolism // Phenylalanine, tyrosine and tryptophan biosynthesis // Tyrosine metabolism // 2-Oxocarboxylic acid metabolism // Alanine, aspartate and glutamate metabolism // Arginine and proline metabolism // Arginine biosynthesis // Biosynthesis of amino acids // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Cysteine and methionine metabolism // Phenylalanine metabolism // Phenylalanine, tyrosine and tryptophan biosynthesis // Tyrosine metabolism // 2-Oxocarboxylic acid metabolism // Alanine, aspartate and glutamate metabolism // Arginine and proline metabolism // Arginine biosynthesis // Biosynthesis of amino acids // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Cysteine and methionine metabolism // Phenylalanine metabolism // Phenylalanine, tyrosine and tryptophan biosynthesis // Tyrosine metabolism // 2-Oxocarboxylic acid metabolism // Alanine, aspartate and glutamate metabolism // Arginine and proline metabolism // Arginine biosynthesis // Biosynthesis of amino acids // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Cysteine and methionine metabolism // Phenylalanine metabolism // Phenylalanine, tyrosine and tryptophan biosynthesis // Tyrosine metabolism // 2-Oxocarboxylic acid metabolism // Alanine, aspartate and glutamate metabolism // Arginine and proline metabolism // Arginine biosynthesis // Biosynthesis of amino acids // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Cysteine and methionine metabolism // Phenylalanine metabolism // Phenylalanine, tyrosine and tryptophan biosynthesis // Tyrosine metabolism // 2-Oxocarboxylic acid metabolism // Alanine, aspartate and glutamate metabolism // Arginine and proline metabolism // Arginine biosynthesis // Biosynthesis of amino acids // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Cysteine and methionine metabolism // Phenylalanine metabolism // Phenylalanine, tyrosine and tryptophan biosynthesis // Tyrosine metabolism // 2-Oxocarboxylic acid metabolism // Alanine, aspartate and glutamate metabolism // Arginine and proline metabolism // Arginine biosynthesis // Biosynthesis of amino acids // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Cysteine and methionine metabolism // Phenylalanine metabolism // Phenylalanine, tyrosine and tryptophan biosynthesis // Tyrosine metabolism // 2-Oxocarboxylic acid metabolism // Alanine, aspartate and glutamate metabolism // Arginine and proline metabolism // Arginine biosynthesis // Biosynthesis of amino acids // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Cysteine and methionine metabolism // Phenylalanine metabolism // Phenylalanine, tyrosine and tryptophan biosynthesis // Tyrosine metabolism	1.39644581837953e-06	4.50464804138551e-07	1.02627031678516e-07	4.69827834515326e-07	1.02627031678519e-07	4.50458667987784e-11
Q6C009	YALI0F28765g	YALI0_F28765g	Carbon metabolism // Glyoxylate and dicarboxylate metabolism	0	1.17620277946478e-05	0	4.56332473475279e-05	0	6.42005366181453e-05
Q6C012	YALI0F28655g	YALI0_F28655g	Amino sugar and nucleotide sugar metabolism	0	0	0	0	0	0
Q6C045	YALI0F27885g	YALI0_F27885g	Fructose and mannose metabolism	0	0	0	0	0	0
Q6C055	YALI0F27665g	YALI0_F27665g	Biosynthesis of antibiotics // Sulfur metabolism // Sulfur metabolism	5.51607569260254e-07	4.9238425665e-07	4.97326731036772e-07	4.9238425665e-07	4.97326731036772e-07	4.9238425665e-07
Q6C071	YALI0F27313g	YALI0_F27313g	Biosynthesis of secondary metabolites // Ubiquinone and other terpenoid-quinone biosynthesis // Biosynthesis of secondary metabolites // Ubiquinone and other terpenoid-quinone biosynthesis // Biosynthesis of secondary metabolites // Ubiquinone and other terpenoid-quinone biosynthesis // Biosynthesis of secondary metabolites // Ubiquinone and other terpenoid-quinone biosynthesis // Biosynthesis of secondary metabolites // Ubiquinone and other terpenoid-quinone biosynthesis	0	0	0	0	0	0
Q6C074	YALI0F27247g	COQ4	Biosynthesis of secondary metabolites // Ubiquinone and other terpenoid-quinone biosynthesis // Biosynthesis of secondary metabolites // Ubiquinone and other terpenoid-quinone biosynthesis // Biosynthesis of secondary metabolites // Ubiquinone and other terpenoid-quinone biosynthesis // Biosynthesis of secondary metabolites // Ubiquinone and other terpenoid-quinone biosynthesis // Biosynthesis of secondary metabolites // Ubiquinone and other terpenoid-quinone biosynthesis	0	0	0	0	0	0
Q6C090	YALI0F26785g	YALI0_F26785g	Nicotinate and nicotinamide metabolism // Nicotinate and nicotinamide metabolism //   //  	0	0	0	0	0	0
Q6C097	YALI0F26609g	HEM3	Biosynthesis of secondary metabolites // Porphyrin and chlorophyll metabolism	0	0	0	0	0	0
Q6C098	YALI0F26587g	YALI0_F26587g	Synthesis and degradation of ketone bodies // Synthesis and degradation of ketone bodies	0	0	0	0	0	0
