enzymes	genes	enzNames	subSystems	Std_ecP	HiT_ecP	LpH_ecP	OG
Q6C2B5	YALI0F09229g	YALI0_F09229g	Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Purine metabolism // Pyrimidine metabolism // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Purine metabolism // Pyrimidine metabolism // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Purine metabolism // Pyrimidine metabolism // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Purine metabolism // Pyrimidine metabolism // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Purine metabolism // Pyrimidine metabolism // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Purine metabolism // Pyrimidine metabolism // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Purine metabolism // Pyrimidine metabolism // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Purine metabolism // Pyrimidine metabolism // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Purine metabolism // Pyrimidine metabolism // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Purine metabolism // Pyrimidine metabolism // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Purine metabolism // Pyrimidine metabolism // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Purine metabolism // Pyrimidine metabolism	0.00110506119901283	0.00274280828862749	0.00135863866968059	OG0000674
Q6C203	YALI0F11935g	YALI0_F11935g	Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid elongation // Fatty acid metabolism // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid elongation // Fatty acid metabolism // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid elongation // Fatty acid metabolism // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid elongation // Fatty acid metabolism // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid elongation // Fatty acid metabolism // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid elongation // Fatty acid metabolism // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid elongation // Fatty acid metabolism // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid elongation // Fatty acid metabolism // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid elongation // Fatty acid metabolism // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid elongation // Fatty acid metabolism // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid elongation // Fatty acid metabolism // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid elongation // Fatty acid metabolism // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid elongation // Fatty acid metabolism // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid elongation // Fatty acid metabolism	Inf	Inf	Inf	OG0001604
Q6C690	YALI0E11495g	YALI0_E11495g	Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Purine metabolism	Inf	Inf	0	OG0003257
Q6CI15	YALI0A02541g	YALI0_A02541g	Folate biosynthesis // Folate biosynthesis // Folate biosynthesis // Folate biosynthesis	Inf	Inf	Inf	OG0000979
Q6CBJ6	YALI0C18205g	COQ5	Biosynthesis of secondary metabolites // Ubiquinone and other terpenoid-quinone biosynthesis // Biosynthesis of secondary metabolites // Ubiquinone and other terpenoid-quinone biosynthesis // Biosynthesis of secondary metabolites // Ubiquinone and other terpenoid-quinone biosynthesis // Biosynthesis of secondary metabolites // Ubiquinone and other terpenoid-quinone biosynthesis // Biosynthesis of secondary metabolites // Ubiquinone and other terpenoid-quinone biosynthesis	Inf	0	0	OG0000721
Q6CCV0	YALI0C06303g	YALI0_C06303g	Glycerophospholipid metabolism // Phosphonate and phosphinate metabolism	Inf	Inf	0	OG0001995
Q6CER7	YALI0B13552g	YALI0_B13552g	Biosynthesis of amino acids // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Pentose phosphate pathway // Purine metabolism	Inf	1	Inf	OG0002267
Q6C2L5	YALI0F06820g	YALI0_F06820g	Aminoacyl-tRNA biosynthesis // One carbon pool by folate	Inf	Inf	Inf	OG0001056
Q6C3Z7	YALI0E31009g	YALI0_E31009g	Pyrimidine metabolism // Pyrimidine metabolism // Pyrimidine metabolism // Pyrimidine metabolism // Pyrimidine metabolism // Pyrimidine metabolism // Pyrimidine metabolism // Pyrimidine metabolism // Pyrimidine metabolism // Pyrimidine metabolism // Pyrimidine metabolism // Pyrimidine metabolism // Pyrimidine metabolism // Pyrimidine metabolism // Pyrimidine metabolism // Pyrimidine metabolism // Pyrimidine metabolism // Pyrimidine metabolism // Pyrimidine metabolism // Pyrimidine metabolism // Pyrimidine metabolism // Pyrimidine metabolism // Pyrimidine metabolism // Pyrimidine metabolism // Pyrimidine metabolism // Pyrimidine metabolism // Pyrimidine metabolism // Pyrimidine metabolism // Pyrimidine metabolism // Pyrimidine metabolism // Pyrimidine metabolism // Pyrimidine metabolism // Pyrimidine metabolism	Inf	Inf	Inf	OG0002739
Q6CEF6	YALI0B16038g	YALI0_B16038g	Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Peroxisome // Terpenoid backbone biosynthesis // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Peroxisome // Terpenoid backbone biosynthesis // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Peroxisome // Terpenoid backbone biosynthesis // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Peroxisome // Terpenoid backbone biosynthesis	Inf	Inf	Inf	OG0002203
Q6C6T4	YALI0E06479g	YALI0_E06479g	Biosynthesis of amino acids // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Pentose phosphate pathway // Biosynthesis of amino acids // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Pentose phosphate pathway // Biosynthesis of amino acids // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Pentose phosphate pathway // Biosynthesis of amino acids // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Pentose phosphate pathway	0.00849904515405407	0.00487024150010589	0.00727005306331175	OG0003195
Q6CGA3	YALI0A20922g	YALI0_A20922g	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis // Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	Inf	Inf	Inf	OG0001438
Q6CF99	YALI0B08965g	YALI0_B08965g	Biosynthesis of secondary metabolites // Riboflavin metabolism	Inf	Inf	Inf	OG0002477
Q6CHS7	YALI0A05379g	YALI0_A05379g	Folate biosynthesis	Inf	0	Inf	OG0003365
Q6C2F9	YALI0F08217g	YALI0_F08217g	Glycerophospholipid metabolism	Inf	Inf	Inf	OG0002276
Q6CDC5	YALI0C01716g	YALI0_C01716g	Biosynthesis of secondary metabolites // Porphyrin and chlorophyll metabolism	0	0	0	OG0001128
Q6C2M0	YALI0F06710g	YALI0_F06710g	Purine metabolism	Inf	Inf	Inf	OG0000585
Q6C695	YALI0E11385g	YALI0_E11385g	Biosynthesis of secondary metabolites // Porphyrin and chlorophyll metabolism // Biosynthesis of secondary metabolites // Porphyrin and chlorophyll metabolism	Inf	0	Inf	OG0000912
Q6C2Y0	YALI0F04169g	YALI0_F04169g	Biosynthesis of secondary metabolites // Starch and sucrose metabolism	0	0	0	OG0001172
Q6C7H3	YALI0E00836g	YALI0_E00836g	Biosynthesis of antibiotics // Cysteine and methionine metabolism	Inf	Inf	Inf	OG0001001
Q6C2A4	YALI0F09449g	YALI0_F09449g	Biosynthesis of secondary metabolites // Porphyrin and chlorophyll metabolism	Inf	Inf	Inf	OG0000871
Q6C8J1	YALI0D19206g	YALI0_D19206g	Biosynthesis of antibiotics // Steroid biosynthesis	0.165829221596194	0.446054098256068	0.29083779759537	OG0002216
Q6C5R8	YALI0E15730g	YALI0_E15730g	Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Sesquiterpenoid and triterpenoid biosynthesis // Steroid biosynthesis // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Sesquiterpenoid and triterpenoid biosynthesis // Steroid biosynthesis	Inf	Inf	Inf	OG0001635
Q6CCQ8	YALI0C07414g	YALI0_C07414g	Glycine, serine and threonine metabolism // Pyrimidine metabolism // Glycine, serine and threonine metabolism // Pyrimidine metabolism // Glycine, serine and threonine metabolism // Pyrimidine metabolism	0	0	0	OG0002490
Q6CGE0	YALI0A20108g	YALI0_A20108g	Nicotinate and nicotinamide metabolism // Nicotinate and nicotinamide metabolism // Nicotinate and nicotinamide metabolism	0	0	0	OG0002519
Q6C5K3	YALI0E17347g	YALI0_E17347g	Sphingolipid metabolism // Sphingolipid metabolism // Sphingolipid metabolism	Inf	0	0	OG0001777
Q6C5G6	YALI0E18238g	YALI0_E18238g	Alanine, aspartate and glutamate metabolism // Butanoate metabolism // Propanoate metabolism // Valine, leucine and isoleucine degradation // beta-Alanine metabolism	0	0	0	OG0002088
Q6CH12	YALI0A14157g	YALI0_A14157g	Glycerophospholipid metabolism	Inf	Inf	Inf	OG0002968
Q6C140	YALI0F19470g	YALI0_F19470g	Biosynthesis of secondary metabolites // Porphyrin and chlorophyll metabolism	Inf	Inf	Inf	OG0002078
Q6BZV1	YALI0F30679g	YALI0_F30679g	Biotin metabolism // Fatty acid biosynthesis // Fatty acid metabolism // Oxidative phosphorylation // Biotin metabolism // Fatty acid biosynthesis // Fatty acid metabolism // Oxidative phosphorylation // Biotin metabolism // Fatty acid biosynthesis // Fatty acid metabolism // Oxidative phosphorylation // Biotin metabolism // Fatty acid biosynthesis // Fatty acid metabolism // Oxidative phosphorylation // Biotin metabolism // Fatty acid biosynthesis // Fatty acid metabolism // Oxidative phosphorylation // Biotin metabolism // Fatty acid biosynthesis // Fatty acid metabolism // Oxidative phosphorylation	Inf	0	Inf	OG0003361
Q6C0Y7	YALI0F20702g	YALI0_F20702g	Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Citrate cycle (TCA cycle) // Gluconeogenesis // Glycine, serine and threonine metabolism // Glycolysis // Glyoxylate and dicarboxylate metabolism // Propanoate metabolism // Pyruvate metabolism // Valine, leucine and isoleucine degradation	0.0533584536425227	0.0993425365932562	0.0818122963106122	OG0001123
Q6CBN4	YALI0C16995g	YALI0_C16995g	Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Citrate cycle (TCA cycle) // Gluconeogenesis // Glycolysis // Pyruvate metabolism	0	0	0	OG0001962
Q6CF75	YALI0B09625g	YALI0_B09625g	Arginine and proline metabolism // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites	Inf	Inf	Inf	OG0002618
Q6C513	YALI0E21934g	YALI0_E21934g	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis // Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	Inf	Inf	Inf	OG0003040
Q6CF74	YALI0B09647g	YALI0_B09647g	Alanine, aspartate and glutamate metabolism // Arginine and proline metabolism // Alanine, aspartate and glutamate metabolism // Arginine and proline metabolism // Alanine, aspartate and glutamate metabolism // Arginine and proline metabolism // Arginine and proline metabolism // Alanine, aspartate and glutamate metabolism // Arginine and proline metabolism // Alanine, aspartate and glutamate metabolism // Arginine and proline metabolism // Alanine, aspartate and glutamate metabolism // Arginine and proline metabolism // Arginine and proline metabolism	0.108534894360746	0.131779723818717	0.122656590759559	OG0001774
Q6C4Q7	YALI0E24497g	YALI0_E24497g	Folate biosynthesis // Folate biosynthesis	Inf	Inf	Inf	OG0001138
Q6C9T5	YALI0D08514g	YALI0_D08514g	Glycerophospholipid metabolism	0.00119742551153433	0.00454441677728325	0.00229475970530398	OG0001174
Q6C1B7	YALI0F17644g	YALI0_F17644g	Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Phenylalanine, tyrosine and tryptophan biosynthesis	Inf	Inf	Inf	OG0000584
Q6C664	YALI0E12089g	YALI0_E12089g	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis // Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	Inf	Inf	Inf	OG0001700
Q6CEG2	YALI0B15884g	COQ3	Biosynthesis of secondary metabolites // Ubiquinone and other terpenoid-quinone biosynthesis // Biosynthesis of secondary metabolites // Ubiquinone and other terpenoid-quinone biosynthesis // Biosynthesis of secondary metabolites // Ubiquinone and other terpenoid-quinone biosynthesis // Biosynthesis of secondary metabolites // Ubiquinone and other terpenoid-quinone biosynthesis // Biosynthesis of secondary metabolites // Ubiquinone and other terpenoid-quinone biosynthesis	Inf	Inf	Inf	OG0000958
Q6C5D8	YALI0E18898g	YALI0_E18898g	Glycerophospholipid metabolism	Inf	Inf	Inf	OG0002101
Q6C7A9	YALI0E02288g	YALI0_E02288g	Biosynthesis of secondary metabolites // Folate biosynthesis // Riboflavin metabolism	Inf	Inf	Inf	OG0003468
Q6C579	YALI0E20361g	YALI0_E20361g	Arginine and proline metabolism // Cysteine and methionine metabolism	Inf	Inf	Inf	OG0001859
Q6C985	YALI0D13112g	YALI0_D13112g	Amino sugar and nucleotide sugar metabolism // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Fructose and mannose metabolism // Amino sugar and nucleotide sugar metabolism // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Fructose and mannose metabolism	0.0194091855131155	0.0263066554144715	0.0187920351180556	OG0003269
Q6BZY8	YALI0F29843g	YALI0_F29843g	Aminoacyl-tRNA biosynthesis // Selenocompound metabolism	0	0	0	OG0000776
Q6CFP4	YALI0B05126g	YALI0_B05126g	Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Steroid biosynthesis	0.0370099792780906	0.194654101939937	0.0687614519369032	OG0001356
Q6CAU0	YALI0C24354g	YALI0_C24354g	Amino sugar and nucleotide sugar metabolism	Inf	Inf	Inf	OG0000679
Q6CGV1	YALI0A15972g	YALI0_A15972g	Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Fructose and mannose metabolism // Gluconeogenesis // Glycolysis // Pentose phosphate pathway	0	0	0	OG0002746
Q6C2I1	YALI0F07711g	YALI0_F07711g	Amino sugar and nucleotide sugar metabolism // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Gluconeogenesis // Glycolysis // Pentose phosphate pathway // Starch and sucrose metabolism // Amino sugar and nucleotide sugar metabolism // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Gluconeogenesis // Glycolysis // Pentose phosphate pathway // Starch and sucrose metabolism	0.0060873482527305	0.0141402335586652	0.0117202372523815	OG0000619
Q6CCW6	YALI0C05951g	YALI0_C05951g	Biosynthesis of unsaturated fatty acids // Fatty acid metabolism // Biosynthesis of unsaturated fatty acids // Fatty acid metabolism // Fatty acid elongation	0.99	0.99	0.989999999999997	OG0000911
Q6C296	YALI0F09625g	YALI0_F09625g	Pantothenate and CoA biosynthesis	0	0	0	OG0002657
Q6C7T7	YALI0D25476g	YALI0_D25476g	Pantothenate and CoA biosynthesis // Pantothenate and CoA biosynthesis // Pantothenate and CoA biosynthesis	0	Inf	0	OG0001028
Q6C8V7	YALI0D16643g	YALI0_D16643g	Aminoacyl-tRNA biosynthesis	0	0	0	OG0002844
Q6C416	YALI0E30591g	YALI0_E30591g	Biosynthesis of secondary metabolites // Biotin metabolism // Fatty acid biosynthesis // Fatty acid metabolism // Propanoate metabolism // Pyruvate metabolism // Biotin metabolism	Inf	Inf	Inf	OG0002711
Q6C5H9	YALI0E17919g	YALI0_E17919g	Aminoacyl-tRNA biosynthesis // Biosynthesis of secondary metabolites // Porphyrin and chlorophyll metabolism	Inf	Inf	Inf	OG0001238
Q6CE40	YALI0B18759g	YALI0_B18759g	Longevity regulating pathway - multiple species // Meiosis - yeast // Purine metabolism // Purine metabolism	Inf	Inf	Inf	OG0001653
Q6CFA0	YALI0B08943g	YALI0_B08943g	Aminoacyl-tRNA biosynthesis	0	0	0	OG0002476
Q6CEM5	YALI0B14509g	YALI0_B14509g	Biosynthesis of amino acids // Biosynthesis of secondary metabolites // Cysteine and methionine metabolism	0.0378337796305324	0.0462512432822314	0.0497384585704069	OG0001007
Q6C055	YALI0F27665g	YALI0_F27665g	Biosynthesis of antibiotics // Sulfur metabolism // Sulfur metabolism	0.126132288524944	0.0679481269060936	0.158827529980297	OG0002857
Q6CBB1	YALI0C20405g	YALI0_C20405g	Carbon metabolism // Carbon metabolism	Inf	0	0	OG0002366
Q6CI26	YALI0A02310g	YALI0_A02310g	Amino sugar and nucleotide sugar metabolism // Biosynthesis of antibiotics // Galactose metabolism // Pentose and glucuronate interconversions // Starch and sucrose metabolism // Amino sugar and nucleotide sugar metabolism // Biosynthesis of antibiotics // Galactose metabolism // Pentose and glucuronate interconversions // Starch and sucrose metabolism	0.00714432539840647	0.00851809689127926	0.00899802212982768	OG0002837
Q6CAE1	YALI0D03619g	YALI0_D03619g	Aminoacyl-tRNA biosynthesis // Selenocompound metabolism	Inf	Inf	Inf	OG0001629
Q6CEK6	YALI0B14927g	RBK1	Pentose phosphate pathway // Pentose phosphate pathway	Inf	0	Inf	OG0000963
Q6C6J2	YALI0E09108g	YALI0_E09108g	Biosynthesis of amino acids // Biosynthesis of antibiotics // Cysteine and methionine metabolism // Glycine, serine and threonine metabolism	0.00982900411638931	0.00471321849982727	0.00482102871160479	OG0001193
Q6CI19	YALI0A02453g	YALI0_A02453g	Inositol phosphate metabolism // Inositol phosphate metabolism	Inf	Inf	Inf	OG0001602
Q6C9K0	YALI0D10593g	YALI0_D10593g	2-Oxocarboxylic acid metabolism // Biosynthesis of amino acids // Biosynthesis of antibiotics // Lysine biosynthesis	0.0164084353231764	0.0305059013572886	0.0292463961673779	OG0003089
Q6C5P4	YALI0E16368g	YALI0_E16368g	Sulfur metabolism	0.00466519580341764	0.0039873104384278	0.00445252546830701	OG0002593
Q6C1F6	YALI0F16709g	YALI0_F16709g	Folate biosynthesis // Thiamine metabolism	Inf	0	Inf	OG0003483
Q6C7J1	YALI0E00418g	YALI0_E00418g	Purine metabolism // Sulfur metabolism	Inf	0.131451322705623	0.138809150645802	OG0001556
Q6C0P7	YALI0F22781g	YALI0_F22781g	Pyrimidine metabolism // Pyrimidine metabolism	0.38786291156012	0.518937736960459	0.463318673270665	OG0000689
Q6C6T5	YALI0E06457g	YALI0_E06457g	Biosynthesis of amino acids // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Lysine biosynthesis // Pantothenate and CoA biosynthesis	0.00864766537389103	0.0149145319453928	0.00892866353963857	OG0003193
Q6CG92	YALI0A21153g	YALI0_A21153g	Longevity regulating pathway - multiple species // Nicotinate and nicotinamide metabolism	Inf	Inf	Inf	OG0002122
Q6C4Q2	YALI0E24607g	YALI0_E24607g	Aminoacyl-tRNA biosynthesis	0	0	0	OG0003260
Q6CFN6	YALI0B05368g	YALI0_B05368g	Pyrimidine metabolism // Pyrimidine metabolism	0.0443750150472612	0.0416841786279775	0.0366586706380855	OG0003300
Q6C3M8	YALI0E33517g	YALI0_E33517g	Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Citrate cycle (TCA cycle) // Gluconeogenesis // Glycine, serine and threonine metabolism // Glycolysis // Glyoxylate and dicarboxylate metabolism // Lysine degradation // Propanoate metabolism // Pyruvate metabolism // Tryptophan metabolism // Valine, leucine and isoleucine degradation // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Citrate cycle (TCA cycle) // Gluconeogenesis // Glycine, serine and threonine metabolism // Glycolysis // Glyoxylate and dicarboxylate metabolism // Lysine degradation // Propanoate metabolism // Pyruvate metabolism // Tryptophan metabolism // Valine, leucine and isoleucine degradation // Fatty acid degradation	0.00959176991281507	0.00524036057320346	0.0140877260813666	OG0002699
Q6CGM4	YALI0A18062g	YALI0_A18062g	Biosynthesis of antibiotics // Steroid biosynthesis	Inf	Inf	0.99	OG0002771
Q6C4A4	YALI0E28468g	YALI0_E28468g	Aminoacyl-tRNA biosynthesis // Biosynthesis of secondary metabolites // Porphyrin and chlorophyll metabolism	0	0	0	OG0001959
Q6C2N1	YALI0F06468g	YALI0_F06468g	Biosynthesis of amino acids // Biosynthesis of antibiotics // Carbon metabolism // Glycine, serine and threonine metabolism // Vitamin B6 metabolism	Inf	0.999999999999967	0.971706705472905	OG0000920
Q6C5D5	YALI0E18964g	YALI0_E18964g	  //  	0.00642066647787857	0.00788279855412271	0.00804817447114932	OG0002747
