enzymes	genes	enzNames	subSystems	Std_ecP	HiT_ecP	LpH_ecP	Osm_ecP	OG
W0T3Y7	KLMA_10498	KLMA_10498	Sphingolipid metabolism	0	0	0	0	OG0000766
W0TEH6	KLMA_60469	KLMA_60469	Fatty acid biosynthesis // Fatty acid biosynthesis // Fatty acid biosynthesis // Fatty acid biosynthesis // Tetracycline biosynthesis // Fatty acid biosynthesis // Fatty acid biosynthesis // Fatty acid biosynthesis // Fatty acid biosynthesis	0.0682751693286043	0.0489385575604844	0.064860447828321	0.0257018585464876	OG0002737
W0TEZ8	KLMA_70077	KLMA_70077	Valine, leucine and isoleucine biosynthesis	Inf	Inf	Inf	Inf	OG0003295
W0T8A1	KLMA_10677	KLMA_10677	Cysteine and methionine metabolism // Cysteine and methionine metabolism // Cysteine and methionine metabolism // Other reactions	0	0	0	0	OG0000667
W0TA94	KLMA_20566	KLMA_20566	Thiamine metabolism // Thiamine metabolism	Inf	Inf	Inf	Inf	OG0001368
W0T828	KLMA_30275	KLMA_30275	Glycine, serine and threonine metabolism // Glycine, serine and threonine metabolism // Glycine, serine and threonine metabolism // Glycine, serine and threonine metabolism	0.023097745408219	Inf	0.0373503230979741	0.0581289606129645	OG0001680
W0T686	KLMA_20679	KLMA_20679	Sphingolipid metabolism // Sphingolipid metabolism // Sphingolipid metabolism	Inf	Inf	Inf	Inf	OG0001432
W0T4F5	KLMA_10663	KLMA_10663	Purine metabolism // Pyrimidine metabolism // Pyrimidine metabolism // Pyrimidine metabolism // Pyrimidine metabolism // Pyrimidine metabolism // Purine metabolism // Pyrimidine metabolism // Pyrimidine metabolism // Pyrimidine metabolism	0.00603665887170045	0.00933434633228789	0.0204947709547823	0.00263196388098864	OG0000674
W0T8S9	KLMA_30158	KLMA_30158	Biosynthesis of unsaturated fatty acids	Inf	Inf	Inf	Inf	OG0001604
W0TE06	KLMA_70014	KLMA_70014	Purine metabolism	0	Inf	Inf	0	OG0003257
W0T3X7	KLMA_10126	KLMA_10126	Folate biosynthesis // Folate biosynthesis // Folate biosynthesis // Folate biosynthesis	Inf	Inf	Inf	Inf	OG0000979
W0T570	KLMA_10581	KLMA_10581	Ubiquinone and other terpenoid-quinone biosynthesis	0	Inf	Inf	Inf	OG0000721
W0TAK3	KLMA_40044	KLMA_40044	Glycerophospholipid metabolism	Inf	Inf	Inf	Inf	OG0001995
W0TBZ0	KLMA_40524	KLMA_40524	Pentose phosphate pathway	0	Inf	0.122538579805181	Inf	OG0002267
W0T6R8	KLMA_20043	KLMA_20043	One carbon pool by folate // One carbon pool by folate	Inf	Inf	Inf	Inf	OG0001056
W0TEH1	KLMA_60464	KLMA_60464	Purine metabolism // Pyrimidine metabolism // Pyrimidine metabolism // Pyrimidine metabolism // Pyrimidine metabolism // Pyrimidine metabolism // Pyrimidine metabolism // Pyrimidine metabolism // Pyrimidine metabolism // Pyrimidine metabolism // Pyrimidine metabolism // Pyrimidine metabolism // Pyrimidine metabolism // Pyrimidine metabolism // Pyrimidine metabolism // Pyrimidine metabolism // Pyrimidine metabolism // Pyrimidine metabolism // Pyrimidine metabolism // Pyrimidine metabolism // Drug metabolism - other enzymes // Drug metabolism - other enzymes	Inf	Inf	Inf	Inf	OG0002739
W0T9Z2	KLMA_40418	KLMA_40418	Terpenoid backbone biosynthesis	Inf	Inf	Inf	Inf	OG0002203
W0THR5	KLMA_80302	KLMA_80302	Pentose phosphate pathway // Pentose phosphate pathway // Carbon fixation in photosynthetic organisms // Pentose phosphate pathway // Pentose phosphate pathway // Carbon fixation in photosynthetic organisms	0.169882244638948	0.00166712440388365	0.0872380922732574	0.00263306991163791	OG0003195
W0T6U1	KLMA_20687	KLMA_20687	Glycosylphosphatidylinositol(GPI)-anchor biosynthesis	Inf	Inf	Inf	Inf	OG0001438
W0TFQ0	KLMA_50270	KLMA_50270	Riboflavin metabolism // Riboflavin metabolism // Riboflavin metabolism	0.0132158964546108	0.0153531364032725	0.0105937318435579	Inf	OG0002477
W0TGU3	KLMA_70193	KLMA_70193	Folate biosynthesis	Inf	Inf	Inf	Inf	OG0003365
W0TCM6	KLMA_40537	KLMA_40537	Glycerophospholipid metabolism // Glycerophospholipid metabolism // Glycerophospholipid metabolism	Inf	Inf	Inf	Inf	OG0002276
W0T965	KLMA_20181	KLMA_20181	Porphyrin and chlorophyll metabolism	Inf	0	0	Inf	OG0001128
W0T4W6	KLMA_10818	KLMA_10818	Purine metabolism	Inf	Inf	Inf	Inf	OG0000585
W0T3A2	KLMA_10243	KLMA_10243	Porphyrin and chlorophyll metabolism // Porphyrin and chlorophyll metabolism // Porphyrin and chlorophyll metabolism	Inf	Inf	Inf	Inf	OG0000912
W0T9E2	KLMA_20256	KLMA_20256	Other reactions // Other reactions	1	1	1	1	OG0001172
W0T2B8	KLMA_10090	KLMA_10090	Cysteine and methionine metabolism	0	Inf	0	Inf	OG0001001
W0T4H7	KLMA_10316	KLMA_10316	Porphyrin and chlorophyll metabolism // Porphyrin and chlorophyll metabolism	Inf	Inf	Inf	Inf	OG0000871
W0TAM6	KLMA_40436	KLMA_40436	Steroid biosynthesis	0.99009900990099	0.99009900990099	Inf	Inf	OG0002216
W0TBM3	KLMA_30204	KLMA_30204	Steroid biosynthesis	0.99009900990099	0.99009900990099	0.908952413405454	Inf	OG0001635
W0TC15	KLMA_50296	KLMA_50296	Pentose and glucuronate interconversions // Pentose and glucuronate interconversions	0	0	0	0	OG0002490
W0TDW1	KLMA_50347	KLMA_50347	Nicotinate and nicotinamide metabolism // Nicotinate and nicotinamide metabolism	0	0	0	0	OG0002519
W0T8H6	KLMA_30430	KLMA_30430	Sphingolipid metabolism // Sphingolipid metabolism	Inf	Inf	Inf	Inf	OG0001777
W0T9B9	KLMA_40198	KLMA_40198	Alanine, aspartate and glutamate metabolism // beta-Alanine metabolism // Alanine, aspartate and glutamate metabolism // beta-Alanine metabolism	0	0	0.494277645664942	0	OG0002088
W0TCN2	KLMA_60091	KLMA_60091	Glycerophospholipid metabolism	Inf	Inf	Inf	Inf	OG0002968
W0T997	KLMA_40178	KLMA_40178	Porphyrin and chlorophyll metabolism	0	0	0	0	OG0002078
W0TEG5	KLMA_70184	KLMA_70184	Fatty acid biosynthesis // Fatty acid biosynthesis // Fatty acid biosynthesis // Fatty acid biosynthesis // Fatty acid biosynthesis // Fatty acid biosynthesis // Fatty acid biosynthesis // Fatty acid biosynthesis // Fatty acid biosynthesis	Inf	Inf	Inf	Inf	OG0003361
W0T5D1	KLMA_20172	KLMA_20172	Glycolysis / Gluconeogenesis // Glycolysis / Gluconeogenesis // Other reactions // Other reactions	0.0792689056597893	0.0255846608631685	0.11388724085818	0.0456301375702416	OG0001123
W0TD31	KLMA_30719	KLMA_30719	Glycolysis / Gluconeogenesis	Inf	Inf	Inf	Inf	OG0001962
W0TBY7	KLMA_50513	KLMA_50513	Arginine and proline metabolism // Arginine and proline metabolism // Arginine and proline metabolism // Arginine and proline metabolism // Arginine and proline metabolism	Inf	Inf	Inf	Inf	OG0002618
W0THS8	KLMA_80045	KLMA_80045	Glycosylphosphatidylinositol(GPI)-anchor biosynthesis	Inf	Inf	Inf	Inf	OG0003040
W0TC82	KLMA_30424	KLMA_30424	Alanine, aspartate and glutamate metabolism // Alanine, aspartate and glutamate metabolism // Arginine and proline metabolism // Arginine and proline metabolism // Arginine and proline metabolism // Arginine and proline metabolism // Arginine and proline metabolism // Arginine and proline metabolism // Arginine and proline metabolism // Arginine and proline metabolism	0	0	0	0	OG0001774
W0T5F5	KLMA_20202	KLMA_20202	Folate biosynthesis // Folate biosynthesis // Folate biosynthesis // Folate biosynthesis // Folate biosynthesis	Inf	Inf	Inf	Inf	OG0001138
W0T5M1	KLMA_20262	KLMA_20262	Glycine, serine and threonine metabolism // Glycine, serine and threonine metabolism	Inf	0	0	0	OG0001174
W0T6M2	KLMA_10819	KLMA_10819	Phenylalanine, tyrosine and tryptophan biosynthesis	Inf	Inf	Inf	Inf	OG0000584
W0T7J7	KLMA_30302	KLMA_30302	Glycosylphosphatidylinositol(GPI)-anchor biosynthesis // Other reactions // Other reactions	Inf	Inf	Inf	Inf	OG0001700
W0T302	KLMA_10163	KLMA_10163	Ubiquinone and other terpenoid-quinone biosynthesis // Ubiquinone and other terpenoid-quinone biosynthesis // Ubiquinone and other terpenoid-quinone biosynthesis // Ubiquinone and other terpenoid-quinone biosynthesis	Inf	Inf	Inf	Inf	OG0000958
W0TA07	KLMA_40231	KLMA_40231	Glycerophospholipid metabolism // Glycerophospholipid metabolism	Inf	Inf	Inf	Inf	OG0002101
W0TEX6	KLMA_70349	KLMA_70349	Riboflavin metabolism	Inf	Inf	Inf	Inf	OG0003468
W0T8B6	KLMA_30557	KLMA_30557	Cysteine and methionine metabolism	Inf	Inf	Inf	Inf	OG0001859
W0TE22	KLMA_70034	KLMA_70034	Fructose and mannose metabolism // Fructose and mannose metabolism	0.118267145530636	0.0792534171860475	0.0579565040306619	0.0547748208275388	OG0003269
W0T3X2	KLMA_10483	KLMA_10483	Selenocompound metabolism // Aminoacyl-tRNA biosynthesis	0	0	0	0	OG0000776
W0TA79	KLMA_20551	KLMA_20551	Steroid biosynthesis	Inf	0.99009900990099	0.908952413405454	0.760645040917821	OG0001356
W0T5D7	KLMA_10656	KLMA_10656	Amino sugar and nucleotide sugar metabolism	Inf	Inf	Inf	Inf	OG0000679
W0TF96	KLMA_60452	KLMA_60452	Glycolysis / Gluconeogenesis // Carbon fixation in photosynthetic organisms // Methane metabolism	0	0	Inf	0	OG0002746
W0T4R5	KLMA_10763	KLMA_10763	Glycolysis / Gluconeogenesis // Glycolysis / Gluconeogenesis // Glycolysis / Gluconeogenesis // Glycolysis / Gluconeogenesis	0.035236690078604	0.00917597275446686	0.00555880744829844	0.0125345776922544	OG0000619
W0T4Z7	KLMA_10244	KLMA_10244	Biosynthesis of unsaturated fatty acids	0	Inf	0	0	OG0000911
W0TC58	KLMA_50578	KLMA_50578	Pantothenate and CoA biosynthesis	0.0030044472107331	Inf	Inf	Inf	OG0002657
W0T3N4	KLMA_10036	KLMA_10036	Pantothenate and CoA biosynthesis	2.44041616163687e-05	3.3526610949688e-05	Inf	1.71741874939799e-05	OG0001028
W0TD76	KLMA_60301	KLMA_60301	Aminoacyl-tRNA biosynthesis	0	0	0	0	OG0002844
W0TEP9	KLMA_60514	KLMA_60514	Biotin metabolism	0	Inf	Inf	Inf	OG0002711
W0T9R1	KLMA_20351	KLMA_20351	Porphyrin and chlorophyll metabolism	Inf	Inf	Inf	Inf	OG0001238
W0T7C4	KLMA_30227	KLMA_30227	Purine metabolism // Purine metabolism	Inf	Inf	Inf	Inf	OG0001653
W0TD16	KLMA_50269	KLMA_50269	Tryptophan metabolism	0	0	0	0	OG0002476
W0T4F1	KLMA_10079	KLMA_10079	Cysteine and methionine metabolism	0.149939866947854	0.112939170542883	0.129455433889941	0.0472865170589474	OG0001007
W0TDX5	KLMA_60279	KLMA_60279	Sulfur metabolism // Other reactions	0.0178985800617399	0.060236929972788	0.022492761246817	Inf	OG0002857
W0TD40	KLMA_50082	KLMA_50082	Methane metabolism	0	0	0	0	OG0002366
W0TEV0	KLMA_60317	KLMA_60317	Pentose and glucuronate interconversions	0.0868591251604002	0.0496048847246064	0.313928797129456	0.0255268060176216	OG0002837
W0T9L1	KLMA_30196	KLMA_30196	Selenocompound metabolism // Aminoacyl-tRNA biosynthesis	Inf	Inf	Inf	Inf	OG0001629
W0T6Q9	KLMA_10157	KLMA_10157	Pentose phosphate pathway // Pentose phosphate pathway // Pentose phosphate pathway	0	Inf	Inf	0	OG0000963
W0T7F7	KLMA_20288	KLMA_20288	Glycine, serine and threonine metabolism // Other reactions	0	0	0	0	OG0001193
W0T7R3	KLMA_30155	KLMA_30155	Inositol phosphate metabolism	Inf	Inf	Inf	Inf	OG0001602
W0TI04	KLMA_80130	KLMA_80130	Lysine biosynthesis // Lysine biosynthesis	0.0131994296556581	0.0221754640395232	0.0182521567658019	0.0256389049377837	OG0003089
W0TCH5	KLMA_50471	KLMA_50471	Sulfur metabolism	0.00294210120275922	0.0099618463293614	0.0045889511175594	0.00353715724357217	OG0002593
W0TFS9	KLMA_70377	KLMA_70377	Folate biosynthesis // Aminobenzoate degradation // Aminobenzoate degradation // Other reactions	0	0	Inf	Inf	OG0003483
W0T7J3	KLMA_30070	KLMA_30070	Purine metabolism	Inf	Inf	Inf	Inf	OG0001556
W0T4C3	KLMA_10633	KLMA_10633	Pyrimidine metabolism // Pyrimidine metabolism	0	0	0	0	OG0000689
W0TGV0	KLMA_80299	KLMA_80299	Lysine biosynthesis // Lysine biosynthesis // Lysine biosynthesis // Lysine degradation // Lysine degradation // Lysine biosynthesis // Lysine degradation // Lysine degradation	0.017248338771488	0.0695180710918	0.0244033234776301	0.0205683237796176	OG0003193
W0T9K9	KLMA_40268	KLMA_40268	Nicotinate and nicotinamide metabolism	Inf	Inf	Inf	Inf	OG0002122
W0TEU3	KLMA_70017	KLMA_70017	Valine, leucine and isoleucine biosynthesis	0	0	0	0	OG0003260
W0TIH4	KLMA_70086	KLMA_70086	Pyrimidine metabolism // Pyrimidine metabolism	0.0780829359169089	0.107601701738414	0.0459711239436586	Inf	OG0003300
W0TDY2	KLMA_60541	KLMA_60541	Citrate cycle (TCA cycle) // Citrate cycle (TCA cycle) // Lysine degradation	1	0	1	1.55811778087463e-05	OG0002699
W0TF60	KLMA_60417	KLMA_60417	Steroid biosynthesis	0.99009900990099	Inf	Inf	Inf	OG0002771
W0TD23	KLMA_30709	KLMA_30709	Porphyrin and chlorophyll metabolism	0	0	0	0	OG0001959
W0T2P5	KLMA_10220	KLMA_10220	Glycine, serine and threonine metabolism	0	Inf	0	0	OG0000920
W0TDL8	KLMA_60451	KLMA_60451	Glycerolipid metabolism	0.0199312939615553	0	0	Inf	OG0002747
W0T7L9	KLMA_30327	KLMA_30327	Glycerolipid metabolism // Glycerophospholipid metabolism	1	1	Inf	1	OG0001713
W0THU4	KLMA_80332	KLMA_80332	Phenylalanine, tyrosine and tryptophan biosynthesis	Inf	Inf	Inf	Inf	OG0003206
W0T5X5	KLMA_20559	KLMA_20559	Aminoacyl-tRNA biosynthesis	Inf	Inf	Inf	Inf	OG0001363
W0TFK4	KLMA_60527	KLMA_60527	Aminoacyl-tRNA biosynthesis	Inf	Inf	Inf	Inf	OG0002705
W0TFF9	KLMA_80051	KLMA_80051	Glycolysis / Gluconeogenesis // Pentose phosphate pathway // Streptomycin biosynthesis // Pentose phosphate pathway // Streptomycin biosynthesis	0.428562825025165	Inf	1	Inf	OG0003041
W0TBA6	KLMA_50258	KLMA_50258	Fructose and mannose metabolism // Other reactions	0	Inf	Inf	0	OG0002471
W0TCJ3	KLMA_50104	KLMA_50104	Aminoacyl-tRNA biosynthesis	0	0	0	0	OG0002379
W0T9D3	KLMA_20246	KLMA_20246	Terpenoid backbone biosynthesis	0.99009900990099	0.99009900990099	0.908952413405454	0.760645040917821	OG0001166
W0TDH3	KLMA_60406	KLMA_60406	Purine metabolism // Purine metabolism	Inf	Inf	Inf	Inf	OG0002777
W0T8S2	KLMA_30148	KLMA_30148	Glycolysis / Gluconeogenesis // Butanoate metabolism // C5-Branched dibasic acid metabolism // Valine, leucine and isoleucine biosynthesis // Valine, leucine and isoleucine biosynthesis // Pantothenate and CoA biosynthesis // Valine, leucine and isoleucine biosynthesis	0.0388453648838687	0.0976842128647067	0.258413635650381	0.18943446642287	OG0001597
W0T6I8	KLMA_20779	KLMA_20779	One carbon pool by folate // One carbon pool by folate // One carbon pool by folate // One carbon pool by folate // One carbon pool by folate // One carbon pool by folate // One carbon pool by folate // One carbon pool by folate	Inf	Inf	Inf	Inf	OG0001493
W0TBW1	KLMA_50231	KLMA_50231	Nitrogen metabolism // Nitrogen metabolism // Glycine, serine and threonine metabolism // One carbon pool by folate	0	0	0	0	OG0002454
W0TBX3	KLMA_30314	KLMA_30314	Inositol phosphate metabolism	Inf	Inf	Inf	Inf	OG0001707
W0TAT2	KLMA_20751	KLMA_20751	Glycerophospholipid metabolism // Glycerophospholipid metabolism	Inf	Inf	Inf	Inf	OG0001476
W0TD95	KLMA_60019	KLMA_60019	Carbon fixation in photosynthetic organisms	0	Inf	0	0	OG0003014
W0TE16	KLMA_40310	KLMA_40310	Pentose and glucuronate interconversions // Other reactions // Other reactions	Inf	Inf	Inf	Inf	OG0002144
W0TA32	KLMA_30588	KLMA_30588	Purine metabolism // Purine metabolism	Inf	Inf	Inf	Inf	OG0001881
W0TDQ2	KLMA_40225	KLMA_40225	Riboflavin metabolism // Riboflavin metabolism // Riboflavin metabolism // Riboflavin metabolism	Inf	Inf	Inf	Inf	OG0002098
W0T4K1	KLMA_10683	KLMA_10683	Pentose and glucuronate interconversions // Glycerolipid metabolism // Other reactions // Pentose and glucuronate interconversions // Glycerolipid metabolism // Other reactions	0	0	0	0	OG0000664
W0T462	KLMA_10186	KLMA_10186	Other reactions // Other reactions	0	0	Inf	0	OG0000945
W0T8X3	KLMA_20086	KLMA_20086	Glycine, serine and threonine metabolism	0.00685782341294499	Inf	Inf	0.0354969254799125	OG0001079
W0TB47	KLMA_50178	KLMA_50178	Alanine, aspartate and glutamate metabolism // Arginine and proline metabolism // Alanine, aspartate and glutamate metabolism	0.104822604486198	0.00126566665267896	Inf	0.0788671574255973	OG0002422
W0TD28	KLMA_50067	KLMA_50067	Tryptophan metabolism // Tryptophan metabolism // Tryptophan metabolism // Tryptophan metabolism // Tryptophan metabolism // Tryptophan metabolism	0	0	0	0	OG0002355
W0TF43	KLMA_70127	KLMA_70127	Aminoacyl-tRNA biosynthesis // Aminoacyl-tRNA biosynthesis	0	0	0	0	OG0003323
W0T5Y3	KLMA_10599	KLMA_10599	Sphingolipid metabolism	0	Inf	0	0	OG0000712
W0TEA1	KLMA_50492	KLMA_50492	Glycerophospholipid metabolism // Glycerophospholipid metabolism	0	Inf	0	Inf	OG0002608
W0TCG5	KLMA_40472	KLMA_40472	Starch and sucrose metabolism // Starch and sucrose metabolism	0	0	0	0	OG0002236
W0TI27	KLMA_80412	KLMA_80412	Glycerolipid metabolism	Inf	0	0	0	OG0003253
W0TF72	KLMA_60427	KLMA_60427	Purine metabolism	0.00741831454285065	0.00774495307621733	0.00837152423629296	0.00226048966186249	OG0002765
W0TD39	KLMA_50304	KLMA_50304	Alanine, aspartate and glutamate metabolism	0	0	0	0	OG0002494
W0TJ01	KLMA_70286	KLMA_70286	Glycerophospholipid metabolism // Glycerophospholipid metabolism // Glycerophospholipid metabolism // Glycerophospholipid metabolism // Glycerophospholipid metabolism // Glycerophospholipid metabolism	Inf	Inf	Inf	Inf	OG0003427
W0T8T6	KLMA_20046	KLMA_20046	Glycine, serine and threonine metabolism // Phenylalanine, tyrosine and tryptophan biosynthesis // Phenylalanine, tyrosine and tryptophan biosynthesis	0.00316285273003299	0.00339447151524373	0.00604139336277455	0.00384156657541692	OG0001057
W0T8L0	KLMA_10797	KLMA_10797	Aminoacyl-tRNA biosynthesis	0	Inf	0	0	OG0000598
W0TEB9	KLMA_60419	KLMA_60419	N-Glycan biosynthesis // N-Glycan biosynthesis	Inf	Inf	Inf	Inf	OG0002770
W0TCE4	KLMA_50431	KLMA_50431	Valine, leucine and isoleucine biosynthesis // Valine, leucine and isoleucine biosynthesis	0	0	0	0	OG0002570
W0T3V9	KLMA_10468	KLMA_10468	Pentose phosphate pathway	0.308203413821719	0	0.113704017493832	0.000116739371034454	OG0000785
W0TI35	KLMA_80165	KLMA_80165	Histidine metabolism // Histidine metabolism	0.000147231097058196	0	0.000604359691655558	Inf	OG0003116
W0TEM5	KLMA_70249	KLMA_70249	Purine metabolism // Purine metabolism // Purine metabolism // Purine metabolism // Purine metabolism // Purine metabolism // Purine metabolism // Pyrimidine metabolism // Nicotinate and nicotinamide metabolism // Nicotinate and nicotinamide metabolism // Purine metabolism // Purine metabolism // Nicotinate and nicotinamide metabolism // Nicotinate and nicotinamide metabolism	0.0236131410127121	Inf	Inf	Inf	OG0003407
W0T3G4	KLMA_10313	KLMA_10313	Terpenoid backbone biosynthesis	Inf	Inf	Inf	Inf	OG0000873
W0T7E5	KLMA_20278	KLMA_20278	Glycolysis / Gluconeogenesis // Glycolysis / Gluconeogenesis // Other reactions // Other reactions	0.0594101825060185	0.0132502443253123	0.069158250969822	0.0263029848459026	OG0001186
W0T9W3	KLMA_40388	KLMA_40388	Glycolysis / Gluconeogenesis // Fructose and mannose metabolism // Carbon fixation in photosynthetic organisms // Methane metabolism // Glycolysis / Gluconeogenesis // Fructose and mannose metabolism // Methane metabolism	0.0060397465611516	0.0968556607922134	0.0493553582808018	0.0695525650218566	OG0002187
W0TGZ5	KLMA_80344	KLMA_80344	Phenylalanine, tyrosine and tryptophan biosynthesis // Phenylalanine, tyrosine and tryptophan biosynthesis	0.275573646602426	0.170158034556497	0.364205187893526	0.215709376239427	OG0003214
W0T8B7	KLMA_10692	KLMA_10692	Tryptophan metabolism	0	Inf	Inf	Inf	OG0000659
W0TAQ9	KLMA_40471	KLMA_40471	N-Glycan biosynthesis	0	0	0	0	OG0002235
W0T6B9	KLMA_20155	KLMA_20155	Alanine, aspartate and glutamate metabolism	0	0	0	0	OG0001115
W0T5U7	KLMA_10564	KLMA_10564	Aminoacyl-tRNA biosynthesis	Inf	Inf	Inf	Inf	OG0000733
W0TG07	KLMA_60455	KLMA_60455	Glycerolipid metabolism // Glycerolipid metabolism // Glycerolipid metabolism	Inf	0	0	0	OG0002744
W0TF23	KLMA_60382	KLMA_60382	Pentose phosphate pathway	Inf	Inf	Inf	Inf	OG0002791
W0T704	KLMA_20752	KLMA_20752	Pyrimidine metabolism	Inf	Inf	Inf	Inf	OG0001477
W0T3S7	KLMA_10433	KLMA_10433	Alanine, aspartate and glutamate metabolism	Inf	0	0	0.00132605439194161	OG0000802
W0T7I7	KLMA_30292	KLMA_30292	Purine metabolism // Purine metabolism // Purine metabolism	0.970656667771836	Inf	Inf	Inf	OG0001692
W0TGZ0	KLMA_60078	KLMA_60078	Glycine, serine and threonine metabolism	Inf	0	0	Inf	OG0002976
W0TGI7	KLMA_50575	KLMA_50575	Inositol phosphate metabolism	Inf	Inf	Inf	Inf	OG0002656
W0TCY9	KLMA_50022	KLMA_50022	Glycerophospholipid metabolism // Glycerophospholipid metabolism // Glycerophospholipid metabolism	Inf	0	Inf	Inf	OG0002333
W0TH20	KLMA_80369	KLMA_80369	Valine, leucine and isoleucine biosynthesis	0	0	0	0	OG0003227
W0T656	KLMA_20085	KLMA_20085	Oxidative phosphorylation	Inf	Inf	Inf	Inf	OG0001078
W0TCX6	KLMA_30654	KLMA_30654	Other reactions // Other reactions	0	0	0	0	OG0001916
W0T562	KLMA_20304	KLMA_20304	Alanine, aspartate and glutamate metabolism // Glycine, serine and threonine metabolism // Alanine, aspartate and glutamate metabolism	0.531901676320974	0.507981548466279	0.99009900990099	Inf	OG0001205
W0TBW6	KLMA_40494	KLMA_40494	Sulfur metabolism	0.00143140115159439	0.00188749564866747	0.00124882997358388	0.00159382362192765	OG0002255
W0THS6	KLMA_60393	KLMA_60393	Valine, leucine and isoleucine biosynthesis	Inf	Inf	0	0	OG0002786
W0T754	KLMA_10297	KLMA_10297	Pyrimidine metabolism // Nicotinate and nicotinamide metabolism // Nicotinate and nicotinamide metabolism	Inf	0	0	0	OG0000882
W0TBX1	KLMA_50493	KLMA_50493	Citrate cycle (TCA cycle) // Lysine degradation // Lysine degradation	0.128208504129565	0	0.263754806563799	3.59924241672702e-06	OG0002609
W0T5E0	KLMA_10414	KLMA_10414	Pyrimidine metabolism	Inf	Inf	Inf	Inf	OG0000813
W0T9F4	KLMA_40016	KLMA_40016	Lysine biosynthesis // Lysine biosynthesis	0.00170658898998145	0.00177663924424145	0.00155230116477585	0.00203722967957358	OG0001974
