enzymes	genes	enzNames	subSystems	Std_ecM	Std_ecP	HiT_ecM	HiT_ecP	LpH_ecM	LpH_ecP	Osm_ecM	Osm_ecP
P00358	YJR009C	TDH2	Gluconeogenesis // sce00010  Glycolysis // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // sce01230  Biosynthesis of amino acids // Gluconeogenesis // sce00010  Glycolysis // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // sce01230  Biosynthesis of amino acids	2.76856976102393e-05	0	0	0	0	0	0	0
P00359	YGR192C	TDH3	Gluconeogenesis // sce00010  Glycolysis // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // sce01230  Biosynthesis of amino acids // Gluconeogenesis // sce00010  Glycolysis // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // sce01230  Biosynthesis of amino acids	0	0	0	0	0	0	0	0
P00360	YJL052W	TDH1	Gluconeogenesis // sce00010  Glycolysis // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // sce01230  Biosynthesis of amino acids // Gluconeogenesis // sce00010  Glycolysis // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // sce01230  Biosynthesis of amino acids	0	1.5404151347422e-05	2.11594186295802e-05	2.10518414795206e-05	1.84332766388856e-05	1.74758325731881e-05	2.95715620971941e-05	3.13531220215691e-05
P00401	Q0045	COX1	sce00190  Oxidative phosphorylation // sce00920  Sulfur metabolism // sce00190  Oxidative phosphorylation // sce00920  Sulfur metabolism	3.91580706023869e-06	4.12668084065742e-06	3.32238633644589e-06	3.57626670547934e-06	3.46889521751959e-06	4.13704582178756e-06	2.97200602677697e-06	3.96681000424655e-06
P00410	Q0250	COX2	sce00190  Oxidative phosphorylation // sce00920  Sulfur metabolism // sce00190  Oxidative phosphorylation // sce00920  Sulfur metabolism	3.91580706023869e-06	4.12668084065742e-06	3.32238633644589e-06	3.57626670547934e-06	3.46889521751959e-06	4.13704582178756e-06	2.97200602677697e-06	3.96681000424655e-06
P00420	Q0275	COX3	sce00190  Oxidative phosphorylation // sce00920  Sulfur metabolism // sce00190  Oxidative phosphorylation // sce00920  Sulfur metabolism	3.91580706023869e-06	4.12668084065742e-06	3.32238633644589e-06	3.57626670547934e-06	3.46889521751959e-06	4.13704582178756e-06	2.97200602677697e-06	3.96681000424655e-06
P00425	YIL111W	COX5B	sce00190  Oxidative phosphorylation // sce00920  Sulfur metabolism	3.91580706023869e-06	4.12668084065742e-06	3.32238633644589e-06	3.57626670547934e-06	3.46889521751959e-06	4.13704582178756e-06	2.97200602677697e-06	3.96681000424655e-06
P00427	YHR051W	COX6	sce00190  Oxidative phosphorylation // sce00920  Sulfur metabolism	3.91580706023869e-06	4.12668084065742e-06	3.32238633644589e-06	3.57626670547934e-06	3.46889521751959e-06	4.13704582178756e-06	2.97200602677697e-06	3.96681000424655e-06
P00431	YKR066C	CCP1	sce00920  Sulfur metabolism // sce00920  Sulfur metabolism	0	0	0	0	0	0	0	0
P00445	YJR104C	SOD1	 // 	0	0	0	0	0	0	0	0
P00447	YHR008C	SOD2	 // 	0	0	0	0	0	0	0	0
P00498	YER055C	HIS1	sce00340  Histidine metabolism // sce01110  Biosynthesis of secondary metabolites // sce01230  Biosynthesis of amino acids	8.26774233510219e-07	7.20071713181096e-07	8.6015202989511e-07	7.20071713181096e-07	8.6015202989511e-07	7.58845679382879e-07	8.6015202989511e-07	1.00116877150782e-06
P00549	YAL038W	CDC19	Gluconeogenesis // sce00010  Glycolysis // sce00230  Purine metabolism // sce00620  Pyruvate metabolism // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // sce01230  Biosynthesis of amino acids	0	1.29269067119854e-06	1.61465443388449e-06	1.35087899504522e-06	1.22623468121059e-06	2.16042906639827e-07	2.95754884859166e-06	2.57976510673241e-06
P00560	YCR012W	PGK1	Gluconeogenesis // sce00010  Glycolysis // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // sce01230  Biosynthesis of amino acids // Gluconeogenesis // sce00010  Glycolysis // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // sce01230  Biosynthesis of amino acids	8.61476698217535e-07	8.32353011302891e-07	1.14333502810573e-06	1.13752216878099e-06	9.96029769671374e-07	9.44294920197126e-07	1.59787957190185e-06	1.69414497039252e-06
P00572	YJR057W	CDC8	sce00240  Pyrimidine metabolism	0	0	0	0	0	0	0	0
P00635	YBR093C	PHO5	sce00730  Thiamine metabolism // sce00740  Riboflavin metabolism // sce04111  Cell cycle - yeast	0	0	0	0	0	0	0	0
P00724	YIL162W	SUC2	sce00052  Galactose metabolism // sce00500  Starch and sucrose metabolism	0	0	0	0	0	0	0	0
P00812	YPL111W	CAR1	sce00220  Arginine biosynthesis // sce00330  Arginine and proline metabolism // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01230  Biosynthesis of amino acids	0	0	0	0	0	0	0	0
P00815	YCL030C	HIS4	sce00340  Histidine metabolism // sce01110  Biosynthesis of secondary metabolites // sce01230  Biosynthesis of amino acids // sce00340  Histidine metabolism // sce01110  Biosynthesis of secondary metabolites // sce01230  Biosynthesis of amino acids // sce00340  Histidine metabolism // sce01110  Biosynthesis of secondary metabolites // sce01230  Biosynthesis of amino acids	6.53413949206566e-08	5.6908510540294e-08	6.79792997884786e-08	5.6908510540294e-08	6.79792997884786e-08	5.99728840240614e-08	6.79792997884786e-08	7.91240963129419e-08
P00817	YBR011C	IPP1	sce00190  Oxidative phosphorylation	0	6.88750264868081e-07	0	0	0	0	0	1.15683576459802e-06
P00830	YJR121W	ATP2	sce00190  Oxidative phosphorylation // sce00190  Oxidative phosphorylation	4.77392657282418e-06	4.78793813801754e-06	4.10643339125021e-06	4.30933679765322e-06	4.28079644773281e-06	4.88429349049191e-06	3.65425798299209e-06	4.32140449867679e-06
P00854	Q0085	ATP6	sce00190  Oxidative phosphorylation // sce00190  Oxidative phosphorylation	1.55151557958829e-05	1.55606930729237e-05	1.33458177160383e-05	1.40052493000469e-05	1.3912493793918e-05	1.58738458377604e-05	1.18762576381502e-05	1.40444690615205e-05
P00856	Q0080	ATP8	sce00190  Oxidative phosphorylation // sce00190  Oxidative phosphorylation	1.55151557958829e-05	1.55606930729237e-05	1.33458177160383e-05	1.40052493000469e-05	1.3912493793918e-05	1.58738458377604e-05	1.18762576381502e-05	1.40444690615205e-05
P00890	YNR001C	CIT1	sce00020  Citrate cycle (TCA cycle) // sce00630  Glyoxylate and dicarboxylate metabolism // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // sce01210  2-Oxocarboxylic acid metabolism // sce01230  Biosynthesis of amino acids	0	8.06427732446342e-07	2.52571191576356e-07	0	2.52571191576356e-07	0	2.52571191576356e-07	0
P00899	YER090W	TRP2	sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01230  Biosynthesis of amino acids	1.64866494816208e-06	1.43589200453595e-06	1.7152233878379e-06	1.43589200453595e-06	1.7152233878379e-06	1.51321100906583e-06	1.7152233878379e-06	1.99642647792445e-06
P00912	YDR007W	TRP1	sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01230  Biosynthesis of amino acids	1.38583829543167e-08	1.2069851610592e-08	1.44178613049043e-08	1.2069851610592e-08	1.44178613049043e-08	1.27197813465375e-08	1.44178613049043e-08	1.67816042319927e-08
P00924	YGR254W	ENO1	Gluconeogenesis // sce00010  Glycolysis // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // sce01230  Biosynthesis of amino acids // sce03018  RNA degradation // Gluconeogenesis // sce00010  Glycolysis // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // sce01230  Biosynthesis of amino acids // sce03018  RNA degradation	0	1.37134682885949e-06	1.70922588172052e-06	1.43004204673249e-06	1.31742250086622e-06	2.06142893707618e-06	3.06381860825046e-06	3.95306139558043e-06
P00925	YHR174W	ENO2	Gluconeogenesis // sce00010  Glycolysis // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // sce01230  Biosynthesis of amino acids // sce03018  RNA degradation // Gluconeogenesis // sce00010  Glycolysis // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // sce01230  Biosynthesis of amino acids // sce03018  RNA degradation	0	0	0	0	0	0	0	0
P00927	YER086W	ILV1	sce00260  Glycine, serine and threonine metabolism // sce00290  Valine, leucine and isoleucine biosynthesis // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // sce01230  Biosynthesis of amino acids	2.85548828692125e-08	2.48696244746426e-08	0	1.91619718033743e-08	0	2.62087882845509e-08	0	3.45780717772437e-08
P00931	YGL026C	TRP5	sce00260  Glycine, serine and threonine metabolism // sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01230  Biosynthesis of amino acids	1.23263806814793e-09	1.07355660621848e-09	1.28240103944928e-09	1.07355660621848e-09	1.28240103944928e-09	1.1313648033789e-09	1.28240103944928e-09	1.49264486983333e-09
P00937	YKL211C	TRP3	sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01230  Biosynthesis of amino acids // sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01230  Biosynthesis of amino acids	1.73481081567457e-06	1.51092008257139e-06	1.80484705994164e-06	1.51092008257139e-06	1.80484705994164e-06	1.59227915159579e-06	1.80484705994164e-06	2.10074354432259e-06
P00942	YDR050C	TPI1	Gluconeogenesis // sce00010  Glycolysis // sce00051  Fructose and mannose metabolism // sce00562  Inositol phosphate metabolism // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // sce01230  Biosynthesis of amino acids // Gluconeogenesis // sce00010  Glycolysis // sce00051  Fructose and mannose metabolism // sce00562  Inositol phosphate metabolism // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // sce01230  Biosynthesis of amino acids	2.64741989098384e-08	2.46980133987964e-08	3.5091775771513e-08	3.52374827590569e-08	3.06348573160928e-08	2.71935833832845e-08	4.87912967568492e-08	5.28827802545051e-08
P00950	YKL152C	GPM1	Gluconeogenesis // sce00010  Glycolysis // sce00260  Glycine, serine and threonine metabolism // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // sce01230  Biosynthesis of amino acids // Gluconeogenesis // sce00010  Glycolysis // sce00260  Glycine, serine and threonine metabolism // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // sce01230  Biosynthesis of amino acids // Gluconeogenesis // sce00010  Glycolysis // sce00260  Glycine, serine and threonine metabolism // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // sce01230  Biosynthesis of amino acids // Gluconeogenesis // sce00010  Glycolysis // sce00260  Glycine, serine and threonine metabolism // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // sce01230  Biosynthesis of amino acids	4.26044782953692e-07	5.47582661867708e-07	0	5.71019828137699e-07	0	8.23134396682197e-07	0	1.57846857991328e-06
P00958	YGR264C	MES1	sce00450  Selenocompound metabolism // sce00970  Aminoacyl-tRNA biosynthesis	4.16356928054485e-06	3.62622913462784e-06	4.33165720835846e-06	3.62622913462784e-06	4.33165720835846e-06	3.82149202765946e-06	4.33165720835846e-06	5.04181361587269e-06
P03962	YEL021W	URA3	sce00240  Pyrimidine metabolism	5.07489661762208e-09	5.2269833132936e-09	5.27977584475788e-09	5.22698331329361e-09	5.27977584475787e-09	5.22698331329361e-09	5.27977584475788e-09	5.22698331329362e-09
P03965	YJR109C	CPA2	sce00240  Pyrimidine metabolism // sce00250  Alanine, aspartate and glutamate metabolism	3.12165547533516e-09	2.8917165705796e-09	3.24768018270557e-09	2.89171657057961e-09	3.24768018270557e-09	2.98711395263689e-09	3.24768018270557e-09	3.58331266185438e-09
P04037	YGL187C	COX4	sce00190  Oxidative phosphorylation // sce00920  Sulfur metabolism	3.91580706023869e-06	4.12668084065742e-06	3.32238633644589e-06	3.57626670547934e-06	3.46889521751959e-06	4.13704582178756e-06	2.97200602677697e-06	3.96681000424655e-06
P04039	YLR395C	COX8	sce00190  Oxidative phosphorylation // sce00920  Sulfur metabolism	7.83171188367357e-06	8.25346470924815e-06	6.64485562057081e-06	7.15262269709004e-06	6.93787704050225e-06	8.2741949302836e-06	5.94408625353463e-06	7.93371904504387e-06
P04046	YMR300C	ADE4	sce00230  Purine metabolism // sce00250  Alanine, aspartate and glutamate metabolism // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics	4.65792402650074e-08	4.79751470730885e-08	4.84596960585122e-08	4.79751470730833e-08	4.84596960585032e-08	4.79751470731063e-08	4.84596960585443e-08	4.79751470731146e-08
P04076	YHR018C	ARG4	sce00220  Arginine biosynthesis // sce00250  Alanine, aspartate and glutamate metabolism // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01230  Biosynthesis of amino acids // sce00220  Arginine biosynthesis // sce00250  Alanine, aspartate and glutamate metabolism // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01230  Biosynthesis of amino acids	1.84667331718523e-09	1.60834030171962e-09	1.9212255751925e-09	1.60834030171962e-09	1.9212255751925e-09	1.69494519309126e-09	1.9212255751925e-09	2.23619405479157e-09
P04161	YDR408C	ADE8	sce00230  Purine metabolism // sce00670  One carbon pool by folate // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics	3.45389578721729e-07	3.55740362925913e-07	3.59333340591357e-07	3.55740362925874e-07	3.59333340591291e-07	3.55740362926045e-07	3.59333340591595e-07	3.55740362926106e-07
P04173	YCL018W	LEU2	sce00290  Valine, leucine and isoleucine biosynthesis // sce00660  C5-Branched dibasic acid metabolism // sce01110  Biosynthesis of secondary metabolites // sce01210  2-Oxocarboxylic acid metabolism // sce01230  Biosynthesis of amino acids	1.10274105534133e-06	9.60422530382974e-07	1.14725993960091e-06	9.60422530382974e-07	1.14725993960091e-06	1.01213875537949e-06	1.14725993960091e-06	1.33534622631417e-06
P04385	YBR020W	GAL1	sce00052  Galactose metabolism // sce00520  Amino sugar and nucleotide sugar metabolism	0	0	0	0	0	0	0	0
P04397	YBR019C	GAL10	Gluconeogenesis // sce00010  Glycolysis // sce00052  Galactose metabolism // sce00520  Amino sugar and nucleotide sugar metabolism // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // Gluconeogenesis // sce00010  Glycolysis // sce00052  Galactose metabolism // sce00520  Amino sugar and nucleotide sugar metabolism // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics	0	0	0	0	0	0	0	0
P04801	YIL078W	THS1	sce00970  Aminoacyl-tRNA biosynthesis	1.9410766929873e-06	1.69057137873511e-06	2.01944012038986e-06	1.69057137873511e-06	2.01944012038986e-06	1.78160419713481e-06	2.01944012038986e-06	2.35052598152658e-06
P04802	YLL018C	DPS1	sce00970  Aminoacyl-tRNA biosynthesis	1.49502457629933e-06	1.3020780771319e-06	1.55538038309106e-06	1.3020780771319e-06	1.55538038309106e-06	1.37219155392959e-06	1.55538038309106e-06	1.81037511268209e-06
P04803	YDR268W	MSW1	sce00970  Aminoacyl-tRNA biosynthesis	0	0	0	0	0	0	0	0
P04806	YFR053C	HXK1	Gluconeogenesis // sce00010  Glycolysis // sce00051  Fructose and mannose metabolism // sce00052  Galactose metabolism // sce00500  Starch and sucrose metabolism // sce00520  Amino sugar and nucleotide sugar metabolism // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // Gluconeogenesis // sce00010  Glycolysis // sce00051  Fructose and mannose metabolism // sce00052  Galactose metabolism // sce00500  Starch and sucrose metabolism // sce00520  Amino sugar and nucleotide sugar metabolism // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // Gluconeogenesis // sce00010  Glycolysis // sce00051  Fructose and mannose metabolism // sce00052  Galactose metabolism // sce00500  Starch and sucrose metabolism // sce00520  Amino sugar and nucleotide sugar metabolism // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism	0	9.11670990928707e-07	0	0	0	0	5.25494543753779e-07	0
P04807	YGL253W	HXK2	Gluconeogenesis // sce00010  Glycolysis // sce00051  Fructose and mannose metabolism // sce00052  Galactose metabolism // sce00500  Starch and sucrose metabolism // sce00520  Amino sugar and nucleotide sugar metabolism // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // Gluconeogenesis // sce00010  Glycolysis // sce00051  Fructose and mannose metabolism // sce00052  Galactose metabolism // sce00500  Starch and sucrose metabolism // sce00520  Amino sugar and nucleotide sugar metabolism // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // Gluconeogenesis // sce00010  Glycolysis // sce00051  Fructose and mannose metabolism // sce00052  Galactose metabolism // sce00500  Starch and sucrose metabolism // sce00520  Amino sugar and nucleotide sugar metabolism // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism	0	0	0	0	0	0	0	0
P05030	YGL008C	PMA1	sce00190  Oxidative phosphorylation // sce00230  Purine metabolism // sce00240  Pyrimidine metabolism	0	0	0	0	0	0	0	0
P05150	YJL088W	ARG3	sce00220  Arginine biosynthesis // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01230  Biosynthesis of amino acids	6.59839234424868e-08	5.74679897903614e-08	6.86477679021634e-08	5.74679897903614e-08	6.86477679021634e-08	6.05624897589436e-08	6.86477679021634e-08	7.99019815474549e-08
P05373	YGL040C	HEM2	sce00860  Porphyrin and chlorophyll metabolism // sce01110  Biosynthesis of secondary metabolites	8.71667697623101e-11	8.97790212e-11	9.068578931412e-11	8.97790212e-11	9.068578931412e-11	8.97790212e-11	9.068578931412e-11	8.97790212e-11
P05374	YGR157W	CHO2	sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites	0	0	0	0	0	0	0	0
P05375	YJR073C	OPI3	sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites	8.90835432685937e-08	1.07103628442773e-07	9.26061418984859e-08	1.06467191462837e-07	9.26061418984858e-08	1.03193584690009e-07	9.26061418984858e-08	7.3131993353516e-08
P05626	YPL078C	ATP4	sce00190  Oxidative phosphorylation // sce00190  Oxidative phosphorylation	1.55151557958829e-05	1.55606930729237e-05	1.33458177160383e-05	1.40052493000469e-05	1.3912493793918e-05	1.58738458377604e-05	1.18762576381502e-05	1.40444690615205e-05
P05694	YER091C	MET6	sce00270  Cysteine and methionine metabolism // sce00450  Selenocompound metabolism // sce01110  Biosynthesis of secondary metabolites // sce01230  Biosynthesis of amino acids // sce00270  Cysteine and methionine metabolism // sce00450  Selenocompound metabolism // sce01110  Biosynthesis of secondary metabolites // sce01230  Biosynthesis of amino acids	1.47662467223469e-06	1.61876536330909e-06	1.53563387358515e-06	1.61535805775505e-06	1.53563387358515e-06	1.59345951039053e-06	1.53563387358515e-06	1.40244703710677e-06
P06106	YLR303W	MET17	sce00270  Cysteine and methionine metabolism // sce00920  Sulfur metabolism // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // sce01230  Biosynthesis of amino acids // sce00270  Cysteine and methionine metabolism // sce00920  Sulfur metabolism // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // sce01230  Biosynthesis of amino acids // sce00270  Cysteine and methionine metabolism // sce00920  Sulfur metabolism // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // sce01230  Biosynthesis of amino acids	0	0	0	1.36506704448447e-07	0	0	0	2.19073729558123e-09
