enzymes	genes	enzNames	subSystems	Std_ecM	Std_ecP	HiT_ecM	HiT_ecP	LpH_ecM	LpH_ecP	Osm_ecM	Osm_ecP
W0T5N2	KLMA_20272	KLMA_20272	N-Glycan biosynthesis // N-Glycan biosynthesis // N-Glycan biosynthesis // N-Glycan biosynthesis	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
W0T5N8	KLMA_10514	KLMA_10514	Valine, leucine and isoleucine degradation // Valine, leucine and isoleucine degradation // Valine, leucine and isoleucine degradation // Valine, leucine and isoleucine degradation // Valine, leucine and isoleucine degradation // Valine, leucine and isoleucine degradation // Valine, leucine and isoleucine degradation // Valine, leucine and isoleucine degradation // Valine, leucine and isoleucine degradation // Valine, leucine and isoleucine degradation // Valine, leucine and isoleucine degradation // Valine, leucine and isoleucine degradation	Inf	0.000362451043235106	Inf	0.000350486189889786	Inf	0.00044099573466911	Inf	0.00060764190726971
W0T5N9	KLMA_10731	KLMA_10731	Pyrimidine metabolism // Pyrimidine metabolism // Pyrimidine metabolism	Inf	0.00360354506533929	Inf	Inf	Inf	Inf	Inf	Inf
W0T5P9	KLMA_10741	KLMA_10741	Glycerolipid metabolism // Glycerolipid metabolism // Other reactions	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
W0T5Q1	KLMA_10524	KLMA_10524	Aminoacyl-tRNA biosynthesis	Inf	0	Inf	0	Inf	0	Inf	0
W0T5Q3	KLMA_20484	KLMA_20484	Thiamine metabolism // Thiamine metabolism	Inf	0	Inf	0	Inf	0	Inf	0
W0T5T4	KLMA_10781	KLMA_10781	Glycine, serine and threonine metabolism // Glycine, serine and threonine metabolism // Glycine, serine and threonine metabolism // Glycine, serine and threonine metabolism	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
W0T5U7	KLMA_10564	KLMA_10564	Aminoacyl-tRNA biosynthesis	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
W0T5W0	KLMA_10811	KLMA_10811	Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion)	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
W0T5X5	KLMA_20559	KLMA_20559	Aminoacyl-tRNA biosynthesis	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
W0T5Y2	KLMA_20005	KLMA_20005	Glycolysis / Gluconeogenesis // Glycolysis / Gluconeogenesis // Glycine, serine and threonine metabolism // Glycine, serine and threonine metabolism // Tyrosine metabolism // Retinol metabolism // Other reactions // Other reactions // Other reactions // Other reactions // Other reactions // Glycine, serine and threonine metabolism // Glycine, serine and threonine metabolism // Tyrosine metabolism // Retinol metabolism // Other reactions	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
W0T5Y3	KLMA_10599	KLMA_10599	Sphingolipid metabolism	Inf	0	Inf	Inf	Inf	0	Inf	0
W0T616	KLMA_20604	KLMA_20604	Glycolysis / Gluconeogenesis // Other reactions // Other reactions	Inf	0	Inf	0	Inf	0	Inf	Inf
W0T620	KLMA_20377	KLMA_20377	Fluorobenzoate degradation // Fluorobenzoate degradation // Chlorocyclohexane and chlorobenzene degradation // Chlorocyclohexane and chlorobenzene degradation // Fluorobenzoate degradation // Fluorobenzoate degradation // Chlorocyclohexane and chlorobenzene degradation // Chlorocyclohexane and chlorobenzene degradation	Inf	0	Inf	Inf	Inf	Inf	Inf	0
W0T633	KLMA_20619	KLMA_20619	Glycerolipid metabolism // Glycerolipid metabolism	Inf	0	Inf	Inf	Inf	0	Inf	Inf
W0T640	KLMA_10649	KLMA_10649	Pyruvate metabolism	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
W0T642	KLMA_20402	KLMA_20402	Transport reactions (facilitated diffusion) // Transport reactions (facilitated diffusion)	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
W0T644	KLMA_20629	KLMA_20629	Riboflavin metabolism	Inf	0.0898594719464479	Inf	0.518351519151123	Inf	Inf	Inf	Inf
W0T656	KLMA_20085	KLMA_20085	Oxidative phosphorylation	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
W0T657	KLMA_20644	KLMA_20644	Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion)	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
W0T673	KLMA_20105	KLMA_20105	Citrate cycle (TCA cycle) // Citrate cycle (TCA cycle) // Propanoate metabolism // Propanoate metabolism	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
W0T677	KLMA_20110	KLMA_20110	Purine metabolism	Inf	0	Inf	Inf	Inf	Inf	Inf	0
W0T679	KLMA_20447	KLMA_20447	Lysine degradation // Lysine degradation // Lysine degradation // Lysine degradation	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
W0T686	KLMA_20679	KLMA_20679	Sphingolipid metabolism // Sphingolipid metabolism // Sphingolipid metabolism	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
W0T6B9	KLMA_20155	KLMA_20155	Alanine, aspartate and glutamate metabolism	Inf	0	Inf	0	Inf	0	Inf	0
W0T6C5	KLMA_10032	KLMA_10032	Glycosylphosphatidylinositol(GPI)-anchor biosynthesis	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
W0T6D1	KLMA_20165	KLMA_20165	Purine metabolism // Purine metabolism // Purine metabolism	Inf	3.97919964368028e-06	Inf	0.0739257189107843	Inf	0.0705839003454176	Inf	Inf
W0T6D2	KLMA_10714	KLMA_10714	Vitamin B6 metabolism // Vitamin B6 metabolism // Vitamin B6 metabolism	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
W0T6D8	KLMA_20734	KLMA_20734	Alanine, aspartate and glutamate metabolism	Inf	0	Inf	0.0307264236544713	Inf	0	Inf	0
W0T6H6	KLMA_20552	KLMA_20552	Histidine metabolism	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
W0T6I8	KLMA_20779	KLMA_20779	One carbon pool by folate // One carbon pool by folate // One carbon pool by folate // One carbon pool by folate // One carbon pool by folate // One carbon pool by folate // One carbon pool by folate // One carbon pool by folate	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
W0T6J0	KLMA_20220	KLMA_20220	Fatty acid elongation // Fatty acid elongation // Fatty acid elongation // Fatty acid elongation // Fatty acid elongation // Fatty acid elongation	Inf	0	Inf	0	Inf	0	Inf	0
W0T6K0	KLMA_10794	KLMA_10794	Purine metabolism	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
W0T6K8	KLMA_10804	KLMA_10804	Pantothenate and CoA biosynthesis // Other reactions // Other reactions	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
W0T6L0	KLMA_20587	KLMA_20587	Transport reactions (diffusion) // Transport reactions (diffusion)	Inf	Inf	Inf	0	Inf	Inf	Inf	Inf
W0T6M2	KLMA_10819	KLMA_10819	Phenylalanine, tyrosine and tryptophan biosynthesis	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
W0T6N2	KLMA_20612	KLMA_20612	Amino sugar and nucleotide sugar metabolism // Amino sugar and nucleotide sugar metabolism	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
W0T6N9	KLMA_10137	KLMA_10137	Aminoacyl-tRNA biosynthesis // Aminoacyl-tRNA biosynthesis	Inf	0	Inf	0	Inf	Inf	Inf	0
W0T6P2	KLMA_20008	KLMA_20008	Other reactions // Other reactions	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
W0T6Q1	KLMA_20637	KLMA_20637	Glycine, serine and threonine metabolism // Glycine, serine and threonine metabolism	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
