enzymes	shortNames	genes	MWs	subSystems	OG
W0T3A2	KLMA_10243	KLMA_10243	31.62443	Porphyrin and chlorophyll metabolism // Porphyrin and chlorophyll metabolism // Porphyrin and chlorophyll metabolism	OG0000912
W0T3B0	KLMA_10253	KLMA_10253	128.85911	Citrate cycle (TCA cycle)	NA
W0T3E2	KLMA_10505	KLMA_10505	56.46743	Purine metabolism	OG0000763
W0T3G4	KLMA_10313	KLMA_10313	49.89411	Terpenoid backbone biosynthesis	OG0000873
W0T3H5	KLMA_10540	KLMA_10540	44.44431	Glycolysis / Gluconeogenesis // Glycolysis / Gluconeogenesis	NA
W0T3I1	KLMA_10545	KLMA_10545	61.32292	Transport reactions (facilitated diffusion) // Transport reactions (facilitated diffusion)	NA
W0T3K1	KLMA_10353	KLMA_10353	16.32692	Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion)	OG0000851
W0T3M6	KLMA_10383	KLMA_10383	82.29981	Lysine degradation // Lysine degradation // Lysine degradation // Lysine degradation // Lysine degradation	NA
W0T3N4	KLMA_10036	KLMA_10036	40.46824	Pantothenate and CoA biosynthesis	OG0001028
W0T3P9	KLMA_10051	KLMA_10051	53.74568	Glycolysis / Gluconeogenesis // Streptomycin biosynthesis	NA
W0T3S7	KLMA_10433	KLMA_10433	51.85761	Alanine, aspartate and glutamate metabolism	OG0000802
W0T3V0	KLMA_10655	KLMA_10655	177.4982	Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion)	NA
W0T3V9	KLMA_10468	KLMA_10468	53.42949	Pentose phosphate pathway	OG0000785
W0T3X2	KLMA_10483	KLMA_10483	85.20197	Selenocompound metabolism // Aminoacyl-tRNA biosynthesis	OG0000776
W0T3X7	KLMA_10126	KLMA_10126	89.90182	Folate biosynthesis // Folate biosynthesis // Folate biosynthesis // Folate biosynthesis	OG0000979
W0T3X8	KLMA_10488	KLMA_10488	27.85676	Folate biosynthesis // Folate biosynthesis // Folate biosynthesis // Folate biosynthesis	OG0000773
W0T3Y2	KLMA_10493	KLMA_10493	50.84602	Aminoacyl-tRNA biosynthesis	NA
W0T3Y7	KLMA_10498	KLMA_10498	62.13109	Sphingolipid metabolism	OG0000766
W0T3Y8	KLMA_10670	KLMA_10670	63.21325	Aminoacyl-tRNA biosynthesis	OG0000671
W0T3Z8	KLMA_10508	KLMA_10508	68.22615	Glycerolipid metabolism // Glycerolipid metabolism // Other reactions	OG0000760
W0T403	KLMA_10513	KLMA_10513	27.06172	One carbon pool by folate	OG0000755
W0T423	KLMA_10705	KLMA_10705	24.41138	Cysteine and methionine metabolism // Cysteine and methionine metabolism // Cysteine and methionine metabolism // Cysteine and methionine metabolism // Cysteine and methionine metabolism // Cysteine and methionine metabolism	NA
W0T427	KLMA_10710	KLMA_10710	134.60295	Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion)	OG0000651
W0T443	KLMA_10735	KLMA_10735	24.45616	Pyrimidine metabolism	OG0000633
W0T453	KLMA_10176	KLMA_10176	54.4264	Pentose phosphate pathway	OG0000951
W0T462	KLMA_10186	KLMA_10186	80.16496	Other reactions // Other reactions	OG0000945
W0T472	KLMA_10196	KLMA_10196	40.38849	Biosynthesis of unsaturated fatty acids	OG0000937
W0T484	KLMA_10598	KLMA_10598	27.17907	Transport reactions (diffusion) // Transport reactions (diffusion)	NA
W0T491	KLMA_10216	KLMA_10216	58.93283	Amino sugar and nucleotide sugar metabolism // Amino sugar and nucleotide sugar metabolism	OG0000923
W0T492	KLMA_10024	KLMA_10024	8.81011	Oxidative phosphorylation	OG0001034
W0T4A4	KLMA_10231	KLMA_10231	66.81868	Glutathione metabolism	OG0000917
W0T4C3	KLMA_10633	KLMA_10633	39.68436	Pyrimidine metabolism // Pyrimidine metabolism	OG0000689
W0T4E2	KLMA_20009	KLMA_20009	30.39444	Transport reactions (diffusion) // Transport reactions (diffusion)	NA
W0T4E3	KLMA_10653	KLMA_10653	164.85169	Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion)	NA
W0T4E8	KLMA_10658	KLMA_10658	104.70471	Amino sugar and nucleotide sugar metabolism	OG0000678
W0T4F1	KLMA_10079	KLMA_10079	42.31663	Cysteine and methionine metabolism	OG0001007
W0T4F5	KLMA_10663	KLMA_10663	16.96835	Purine metabolism // Pyrimidine metabolism // Pyrimidine metabolism // Pyrimidine metabolism // Pyrimidine metabolism // Pyrimidine metabolism // Purine metabolism // Pyrimidine metabolism // Pyrimidine metabolism // Pyrimidine metabolism	OG0000674
W0T4G1	KLMA_10089	KLMA_10089	75.84302	Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion)	NA
W0T4H7	KLMA_10316	KLMA_10316	29.86082	Porphyrin and chlorophyll metabolism // Porphyrin and chlorophyll metabolism	OG0000871
W0T4J0	KLMA_10336	KLMA_10336	45.79888	Citrate cycle (TCA cycle) // Citrate cycle (TCA cycle) // Citrate cycle (TCA cycle) // Citrate cycle (TCA cycle)	OG0000859
W0T4J4	KLMA_10341	KLMA_10341	107.76182	Glycolysis / Gluconeogenesis // Galactose metabolism	NA
W0T4J5	KLMA_10124	KLMA_10124	44.68242	Glycerolipid metabolism // Glycerolipid metabolism // Other reactions	OG0000981
W0T4J6	KLMA_20074	KLMA_20074	125.65458	Starch and sucrose metabolism // Starch and sucrose metabolism	NA
W0T4J7	KLMA_10678	KLMA_10678	151.98553	Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion)	NA
W0T4K1	KLMA_10683	KLMA_10683	37.44344	Pentose and glucuronate interconversions // Glycerolipid metabolism // Other reactions // Pentose and glucuronate interconversions // Glycerolipid metabolism // Other reactions	OG0000664
W0T4M1	KLMA_20099	KLMA_20099	30.32762	Transport reactions (diffusion) // Transport reactions (diffusion)	NA
W0T4N5	KLMA_10159	KLMA_10159	40.37593	Biosynthesis of unsaturated fatty acids	NA
W0T4N6	KLMA_20114	KLMA_20114	51.89754	Other reactions // Other reactions	OG0001093
W0T4P7	KLMA_20129	KLMA_20129	31.49556	Transport reactions (diffusion) // Transport reactions (diffusion)	OG0001101
W0T4R5	KLMA_10763	KLMA_10763	61.5907	Glycolysis / Gluconeogenesis // Glycolysis / Gluconeogenesis // Glycolysis / Gluconeogenesis // Glycolysis / Gluconeogenesis	OG0000619
W0T4S5	KLMA_10436	KLMA_10436	38.66418	Histidine metabolism	OG0000799
W0T4T5	KLMA_10179	KLMA_10179	42.52736	Glycerophospholipid metabolism	NA
W0T4U6	KLMA_10189	KLMA_10189	34.69406	Purine metabolism	OG0000942
W0T4W6	KLMA_10818	KLMA_10818	24.11539	Purine metabolism	OG0000585
W0T4W9	KLMA_10481	KLMA_10481	46.97155	Folate biosynthesis	OG0000778
W0T4Y9	KLMA_10234	KLMA_10234	49.49048	Starch and sucrose metabolism	NA
W0T4Z5	KLMA_10506	KLMA_10506	79.19231	Transport reaction (active diffusion)	NA
W0T4Z7	KLMA_10244	KLMA_10244	54.94154	Biosynthesis of unsaturated fatty acids	OG0000911
W0T500	KLMA_10511	KLMA_10511	56.2706	Lysine degradation // Lysine degradation // Lysine degradation // Lysine degradation	NA
W0T503	KLMA_20244	KLMA_20244	41.023	Ubiquinone and other terpenoid-quinone biosynthesis // Ubiquinone and other terpenoid-quinone biosynthesis // Ubiquinone and other terpenoid-quinone biosynthesis	OG0001165
W0T517	KLMA_20259	KLMA_20259	55.92693	Phenylalanine metabolism // Tryptophan metabolism // Ubiquinone and other terpenoid-quinone biosynthesis // Phenylalanine metabolism // Tryptophan metabolism // Ubiquinone and other terpenoid-quinone biosynthesis	NA
W0T518	KLMA_20042	KLMA_20042	58.13043	Pyruvate metabolism	NA
W0T533	KLMA_10546	KLMA_10546	63.01151	Transport reactions (facilitated diffusion) // Transport reactions (facilitated diffusion)	NA
W0T534	KLMA_20057	KLMA_20057	34.84334	Purine metabolism	NA
W0T536	KLMA_10289	KLMA_10289	58.43081	Glycosylphosphatidylinositol(GPI)-anchor biosynthesis // Glycosylphosphatidylinositol(GPI)-anchor biosynthesis	NA
W0T537	KLMA_20062	KLMA_20062	33.47172	Other reactions	NA
W0T541	KLMA_10294	KLMA_10294	24.72595	Purine metabolism // Purine metabolism // Purine metabolism // Purine metabolism	NA
W0T562	KLMA_20304	KLMA_20304	38.37547	Alanine, aspartate and glutamate metabolism // Glycine, serine and threonine metabolism // Alanine, aspartate and glutamate metabolism	OG0001205
W0T570	KLMA_10581	KLMA_10581	34.71298	Ubiquinone and other terpenoid-quinone biosynthesis	OG0000721
W0T576	KLMA_20319	KLMA_20319	31.87546	Glycerophospholipid metabolism // Glycerophospholipid metabolism	OG0001216
W0T5A6	KLMA_10621	KLMA_10621	64.70665	Pyruvate metabolism	OG0000699
W0T5B1	KLMA_10626	KLMA_10626	53.43631	Aminoacyl-tRNA biosynthesis	OG0000694
W0T5C0	KLMA_10389	KLMA_10389	40.26765	Terpenoid backbone biosynthesis // Terpenoid backbone biosynthesis	OG0000835
W0T5D1	KLMA_20172	KLMA_20172	45.51242	Glycolysis / Gluconeogenesis // Glycolysis / Gluconeogenesis // Other reactions // Other reactions	OG0001123
W0T5D7	KLMA_10656	KLMA_10656	132.09402	Amino sugar and nucleotide sugar metabolism	OG0000679
W0T5D8	KLMA_20354	KLMA_20354	41.81484	Glycine, serine and threonine metabolism // Cysteine and methionine metabolism // Cysteine and methionine metabolism // Selenocompound metabolism // Other reactions // Cysteine and methionine metabolism // Other reactions	OG0001241
W0T5E0	KLMA_10414	KLMA_10414	34.63716	Pyrimidine metabolism	OG0000813
W0T5E4	KLMA_10419	KLMA_10419	36.75661	One carbon pool by folate // One carbon pool by folate	OG0000809
W0T5F5	KLMA_20202	KLMA_20202	55.33009	Folate biosynthesis // Folate biosynthesis // Folate biosynthesis // Folate biosynthesis // Folate biosynthesis	OG0001138
W0T5F9	KLMA_10434	KLMA_10434	62.2312	Aminoacyl-tRNA biosynthesis	OG0000801
W0T5G3	KLMA_10439	KLMA_10439	61.80488	Glycerophospholipid metabolism	OG0000798
W0T5I6	KLMA_20414	KLMA_20414	39.35969	Phenylalanine, tyrosine and tryptophan biosynthesis	NA
W0T5J3	KLMA_20424	KLMA_20424	52.81319	Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion)	NA
W0T5M1	KLMA_20262	KLMA_20262	30.30875	Glycine, serine and threonine metabolism // Glycine, serine and threonine metabolism	OG0001174
W0T5M3	KLMA_20454	KLMA_20454	42.83549	Phenylalanine, tyrosine and tryptophan biosynthesis	OG0001301
W0T5M8	KLMA_20459	KLMA_20459	69.6764	Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion)	NA
W0T5N2	KLMA_20272	KLMA_20272	102.9578	N-Glycan biosynthesis // N-Glycan biosynthesis // N-Glycan biosynthesis // N-Glycan biosynthesis	OG0001181
W0T5N8	KLMA_10514	KLMA_10514	41.652	Valine, leucine and isoleucine degradation // Valine, leucine and isoleucine degradation // Valine, leucine and isoleucine degradation // Valine, leucine and isoleucine degradation // Valine, leucine and isoleucine degradation // Valine, leucine and isoleucine degradation // Valine, leucine and isoleucine degradation // Valine, leucine and isoleucine degradation // Valine, leucine and isoleucine degradation // Valine, leucine and isoleucine degradation // Valine, leucine and isoleucine degradation // Valine, leucine and isoleucine degradation	NA
W0T5N9	KLMA_10731	KLMA_10731	29.29515	Pyrimidine metabolism // Pyrimidine metabolism // Pyrimidine metabolism	NA
W0T5P9	KLMA_10741	KLMA_10741	37.78295	Glycerolipid metabolism // Glycerolipid metabolism // Other reactions	OG0000632
W0T5Q1	KLMA_10524	KLMA_10524	52.75411	Aminoacyl-tRNA biosynthesis	OG0000752
W0T5Q3	KLMA_20484	KLMA_20484	54.65512	Thiamine metabolism // Thiamine metabolism	OG0001322
W0T5T4	KLMA_10781	KLMA_10781	43.52338	Glycine, serine and threonine metabolism // Glycine, serine and threonine metabolism // Glycine, serine and threonine metabolism // Glycine, serine and threonine metabolism	NA
W0T5U7	KLMA_10564	KLMA_10564	51.06992	Aminoacyl-tRNA biosynthesis	OG0000733
W0T5W0	KLMA_10811	KLMA_10811	23.88614	Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion)	OG0000590
W0T5X5	KLMA_20559	KLMA_20559	50.25081	Aminoacyl-tRNA biosynthesis	OG0001363
W0T5Y2	KLMA_20005	KLMA_20005	45.86802	Glycolysis / Gluconeogenesis // Glycolysis / Gluconeogenesis // Glycine, serine and threonine metabolism // Glycine, serine and threonine metabolism // Tyrosine metabolism // Retinol metabolism // Other reactions // Other reactions // Other reactions // Other reactions // Other reactions // Glycine, serine and threonine metabolism // Glycine, serine and threonine metabolism // Tyrosine metabolism // Retinol metabolism // Other reactions	OG0001036
W0T5Y3	KLMA_10599	KLMA_10599	63.32672	Sphingolipid metabolism	OG0000712
W0T616	KLMA_20604	KLMA_20604	27.52298	Glycolysis / Gluconeogenesis // Other reactions // Other reactions	OG0001383
W0T620	KLMA_20377	KLMA_20377	30.23799	Fluorobenzoate degradation // Fluorobenzoate degradation // Chlorocyclohexane and chlorobenzene degradation // Chlorocyclohexane and chlorobenzene degradation // Fluorobenzoate degradation // Fluorobenzoate degradation // Chlorocyclohexane and chlorobenzene degradation // Chlorocyclohexane and chlorobenzene degradation	OG0001253
W0T633	KLMA_20619	KLMA_20619	34.51799	Glycerolipid metabolism // Glycerolipid metabolism	NA
W0T640	KLMA_10649	KLMA_10649	61.81472	Pyruvate metabolism	NA
W0T642	KLMA_20402	KLMA_20402	58.54641	Transport reactions (facilitated diffusion) // Transport reactions (facilitated diffusion)	NA
W0T644	KLMA_20629	KLMA_20629	17.97051	Riboflavin metabolism	OG0001399
W0T656	KLMA_20085	KLMA_20085	22.26214	Oxidative phosphorylation	OG0001078
W0T657	KLMA_20644	KLMA_20644	178.22304	Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion)	OG0001407
W0T673	KLMA_20105	KLMA_20105	53.26639	Citrate cycle (TCA cycle) // Citrate cycle (TCA cycle) // Propanoate metabolism // Propanoate metabolism	NA
W0T677	KLMA_20110	KLMA_20110	87.60347	Purine metabolism	OG0001091
W0T679	KLMA_20447	KLMA_20447	59.95722	Lysine degradation // Lysine degradation // Lysine degradation // Lysine degradation	NA
W0T686	KLMA_20679	KLMA_20679	93.9291	Sphingolipid metabolism // Sphingolipid metabolism // Sphingolipid metabolism	OG0001432
W0T6B9	KLMA_20155	KLMA_20155	78.87031	Alanine, aspartate and glutamate metabolism	OG0001115
W0T6C5	KLMA_10032	KLMA_10032	48.05155	Glycosylphosphatidylinositol(GPI)-anchor biosynthesis	NA
W0T6D1	KLMA_20165	KLMA_20165	25.19898	Purine metabolism // Purine metabolism // Purine metabolism	NA
W0T6D2	KLMA_10714	KLMA_10714	36.35306	Vitamin B6 metabolism // Vitamin B6 metabolism // Vitamin B6 metabolism	OG0000648
W0T6D8	KLMA_20734	KLMA_20734	117.04141	Alanine, aspartate and glutamate metabolism	OG0001464
W0T6H6	KLMA_20552	KLMA_20552	47.3353	Histidine metabolism	NA
W0T6I8	KLMA_20779	KLMA_20779	25.5742	One carbon pool by folate // One carbon pool by folate // One carbon pool by folate // One carbon pool by folate // One carbon pool by folate // One carbon pool by folate // One carbon pool by folate // One carbon pool by folate	OG0001493
W0T6J0	KLMA_20220	KLMA_20220	43.18129	Fatty acid elongation // Fatty acid elongation // Fatty acid elongation // Fatty acid elongation // Fatty acid elongation // Fatty acid elongation	NA
W0T6K0	KLMA_10794	KLMA_10794	94.65468	Purine metabolism	OG0000601
W0T6K8	KLMA_10804	KLMA_10804	34.27711	Pantothenate and CoA biosynthesis // Other reactions // Other reactions	OG0000593
W0T6L0	KLMA_20587	KLMA_20587	29.72675	Transport reactions (diffusion) // Transport reactions (diffusion)	NA
W0T6M2	KLMA_10819	KLMA_10819	50.02246	Phenylalanine, tyrosine and tryptophan biosynthesis	OG0000584
W0T6N2	KLMA_20612	KLMA_20612	55.10677	Amino sugar and nucleotide sugar metabolism // Amino sugar and nucleotide sugar metabolism	OG0001390
W0T6N9	KLMA_10137	KLMA_10137	85.99239	Aminoacyl-tRNA biosynthesis // Aminoacyl-tRNA biosynthesis	OG0000972
W0T6P2	KLMA_20008	KLMA_20008	85.59846	Other reactions // Other reactions	NA
W0T6Q1	KLMA_20637	KLMA_20637	35.23904	Glycine, serine and threonine metabolism // Glycine, serine and threonine metabolism	NA
W0T6Q3	KLMA_20023	KLMA_20023	100.19712	Starch and sucrose metabolism // Starch and sucrose metabolism // Starch and sucrose metabolism	OG0001043
W0T6Q9	KLMA_10157	KLMA_10157	37.03537	Pentose phosphate pathway // Pentose phosphate pathway // Pentose phosphate pathway	OG0000963
W0T6R3	KLMA_20290	KLMA_20290	37.89043	Porphyrin and chlorophyll metabolism	OG0001195
W0T6R7	KLMA_20657	KLMA_20657	93.80253	Other types of O-glycan biosynthesis // Other types of O-glycan biosynthesis	OG0001415
W0T6R8	KLMA_20043	KLMA_20043	40.51741	One carbon pool by folate // One carbon pool by folate	OG0001056
W0T6S2	KLMA_20048	KLMA_20048	86.70038	N-Glycan biosynthesis // N-Glycan biosynthesis	OG0001058
W0T6S6	KLMA_20305	KLMA_20305	52.20608	Glycine, serine and threonine metabolism // Glycine, serine and threonine metabolism // Glycine, serine and threonine metabolism // Glycine, serine and threonine metabolism	NA
W0T6U1	KLMA_20687	KLMA_20687	46.87895	Glycosylphosphatidylinositol(GPI)-anchor biosynthesis	OG0001438
W0T6V3	KLMA_30042	KLMA_30042	21.71615	Purine metabolism // Purine metabolism // Purine metabolism // Purine metabolism // Purine metabolism // Pyrimidine metabolism	NA
W0T6V7	KLMA_20093	KLMA_20093	27.6361	Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion)	OG0001083
W0T6W0	KLMA_10182	KLMA_10182	33.15517	Glycolysis / Gluconeogenesis // Glycolysis / Gluconeogenesis	NA
W0T6W1	KLMA_20098	KLMA_20098	28.85381	Glycolysis / Gluconeogenesis // Glycolysis / Gluconeogenesis	OG0001087
W0T6W8	KLMA_10192	KLMA_10192	58.53218	Purine metabolism // Purine metabolism	OG0000939
W0T6X1	KLMA_20722	KLMA_20722	50.96737	Steroid biosynthesis // Steroid biosynthesis // Other reactions // Other reactions	NA
W0T6Z0	KLMA_10222	KLMA_10222	60.83469	Purine metabolism	NA
W0T704	KLMA_20752	KLMA_20752	35.84688	Pyrimidine metabolism	OG0001477
W0T717	KLMA_20370	KLMA_20370	54.76542	Glutathione metabolism	OG0001248
W0T718	KLMA_20153	KLMA_20153	48.27557	Alanine, aspartate and glutamate metabolism // Alanine, aspartate and glutamate metabolism // Cysteine and methionine metabolism // Cysteine and methionine metabolism // Cysteine and methionine metabolism // Cysteine and methionine metabolism // Cysteine and methionine metabolism // Arginine and proline metabolism // Arginine and proline metabolism // Phenylalanine metabolism // Phenylalanine, tyrosine and tryptophan biosynthesis // Ubiquinone and other terpenoid-quinone biosynthesis // Alanine, aspartate and glutamate metabolism // Alanine, aspartate and glutamate metabolism // Cysteine and methionine metabolism // Cysteine and methionine metabolism // Cysteine and methionine metabolism // Cysteine and methionine metabolism // Phenylalanine metabolism // Phenylalanine, tyrosine and tryptophan biosynthesis // Ubiquinone and other terpenoid-quinone biosynthesis	NA
W0T723	KLMA_20158	KLMA_20158	40.38988	Glycolysis / Gluconeogenesis // Glycolysis / Gluconeogenesis // Glycine, serine and threonine metabolism // Glycine, serine and threonine metabolism // Tyrosine metabolism // Phenylalanine metabolism // Retinol metabolism // Other reactions // Other reactions // Other reactions // Other reactions // Other reactions // Glycine, serine and threonine metabolism // Glycine, serine and threonine metabolism // Tyrosine metabolism // Retinol metabolism // Other reactions	NA
W0T747	KLMA_20405	KLMA_20405	50.46248	N-Glycan biosynthesis // N-Glycan biosynthesis	OG0001270
W0T754	KLMA_10297	KLMA_10297	37.44287	Pyrimidine metabolism // Nicotinate and nicotinamide metabolism // Nicotinate and nicotinamide metabolism	OG0000882
W0T759	KLMA_30152	KLMA_30152	79.01676	Glycerophospholipid metabolism // Glycerophospholipid metabolism // Glycerophospholipid metabolism // Other reactions	NA
W0T760	KLMA_20193	KLMA_20193	97.14208	Transport reaction (active diffusion) // Transport reaction (active diffusion)	OG0001134
W0T771	KLMA_10317	KLMA_10317	58.44638	Purine metabolism // Purine metabolism	NA
W0T776	KLMA_20208	KLMA_20208	47.75234	Glycerolipid metabolism // Glycerolipid metabolism // Other reactions	OG0001143
W0T778	KLMA_20817	KLMA_20817	64.42939	Arginine and proline metabolism	NA
W0T793	KLMA_10342	KLMA_10342	46.24864	Sphingolipid metabolism	NA
W0T7A9	KLMA_20243	KLMA_20243	16.33968	Pyrimidine metabolism	NA
W0T7C4	KLMA_30227	KLMA_30227	214.09956	Purine metabolism // Purine metabolism	OG0001653
W0T7D6	KLMA_20505	KLMA_20505	116.58146	Transport reactions (diffusion) // Transport reactions (diffusion)	OG0001338
W0T7D8	KLMA_30010	KLMA_30010	65.35779	Transport reactions (facilitated diffusion) // Transport reactions (facilitated diffusion)	NA
W0T7E0	KLMA_30247	KLMA_30247	86.3334	Glycerolipid metabolism // Glycerophospholipid metabolism	NA
W0T7E5	KLMA_20278	KLMA_20278	38.68168	Glycolysis / Gluconeogenesis // Glycolysis / Gluconeogenesis // Other reactions // Other reactions	OG0001186
W0T7F0	KLMA_10402	KLMA_10402	87.19236	Glycerolipid metabolism // Glycerolipid metabolism // Glycerolipid metabolism // Glycerophospholipid metabolism // Glycerophospholipid metabolism // Other reactions // Glycerophospholipid metabolism // Glycerophospholipid metabolism	NA
W0T7F7	KLMA_20288	KLMA_20288	54.19029	Glycine, serine and threonine metabolism // Other reactions	OG0001193
W0T7G3	KLMA_30035	KLMA_30035	24.28184	Glycerophospholipid metabolism // Glycerophospholipid metabolism // Glycerophospholipid metabolism	OG0001528
W0T7I0	KLMA_20308	KLMA_20308	41.59876	Steroid biosynthesis	OG0001207
W0T7I7	KLMA_30292	KLMA_30292	25.16481	Purine metabolism // Purine metabolism // Purine metabolism	OG0001692
W0T7J3	KLMA_30070	KLMA_30070	22.68757	Purine metabolism	OG0001556
W0T7J6	KLMA_30075	KLMA_30075	54.1446	Purine metabolism // Purine metabolism // Purine metabolism	OG0001559
W0T7J7	KLMA_30302	KLMA_30302	113.43998	Glycosylphosphatidylinositol(GPI)-anchor biosynthesis // Other reactions // Other reactions	OG0001700
W0T7K3	KLMA_20575	KLMA_20575	39.55282	Citrate cycle (TCA cycle)	OG0001371
W0T7K6	KLMA_30312	KLMA_30312	85.06066	Citrate cycle (TCA cycle) // Citrate cycle (TCA cycle) // Propanoate metabolism // Citrate cycle (TCA cycle) // Citrate cycle (TCA cycle) // Propanoate metabolism	NA
