enzymes	shortNames	genes	MWs	subSystems	OG
O74935	POX2	YALI0F10857g	78.69014	Fatty acid metabolism // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome	NA
O74936	POX3	YALI0D24750g	78.00886	Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Fatty acid metabolism // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome	NA
P18120	LEU2	YALI0C00407g	43.35849	2-Oxocarboxylic acid metabolism // Biosynthesis of amino acids // Biosynthesis of secondary metabolites // C5-Branched dibasic acid metabolism // Valine, leucine and isoleucine biosynthesis	NA
P29407	PGK1	YALI0D12400g	44.77182	Biosynthesis of amino acids // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Gluconeogenesis // Glycolysis // Biosynthesis of amino acids // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Gluconeogenesis // Glycolysis	NA
P30614	PYK1	YALI0F09185g	56.66722	Biosynthesis of amino acids // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Gluconeogenesis // Glycolysis // Purine metabolism // Pyruvate metabolism	NA
P34229	FAS1	YALI0B15059g	231.33977	Fatty acid biosynthesis // Fatty acid metabolism // Fatty acid biosynthesis // Fatty acid metabolism	NA
P38997	LYS5	YALI0B15444g	40.61175	Biosynthesis of amino acids // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Lysine biosynthesis // Lysine degradation	NA
P41555	ICL1	YALI0C16885g	60.0481	Biosynthesis of secondary metabolites // Carbon metabolism // Glyoxylate and dicarboxylate metabolism // Biosynthesis of secondary metabolites // Carbon metabolism // Glyoxylate and dicarboxylate metabolism	NA
P41923	URA5	YALI0F21527g	23.68155	Pyrimidine metabolism // Pyrimidine metabolism	NA
P59680	PFK1	YALI0D16357g	103.75224	Biosynthesis of amino acids // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Fructose and mannose metabolism // Galactose metabolism // Gluconeogenesis // Glycolysis // Pentose phosphate pathway // RNA degradation // Biosynthesis of amino acids // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Fructose and mannose metabolism // Galactose metabolism // Gluconeogenesis // Glycolysis // Pentose phosphate pathway // RNA degradation	NA
Q05493	POT1	YALI0E18568g	43.05867	Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Valine, leucine and isoleucine degradation // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Valine, leucine and isoleucine degradation // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Valine, leucine and isoleucine degradation // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Valine, leucine and isoleucine degradation // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Valine, leucine and isoleucine degradation // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Valine, leucine and isoleucine degradation // Fatty acid metabolism // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Valine, leucine and isoleucine degradation // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Valine, leucine and isoleucine degradation // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Valine, leucine and isoleucine degradation // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Valine, leucine and isoleucine degradation // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Valine, leucine and isoleucine degradation // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Valine, leucine and isoleucine degradation // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Valine, leucine and isoleucine degradation // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Valine, leucine and isoleucine degradation // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Valine, leucine and isoleucine degradation // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Valine, leucine and isoleucine degradation // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Valine, leucine and isoleucine degradation // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Valine, leucine and isoleucine degradation	NA
Q12724	URA3	YALI0E26741g	31.62953	Pyrimidine metabolism	NA
Q12725	EXG1	YALI0F05390g	48.27403	Starch and sucrose metabolism	NA
Q12726	LYS1	YALI0F31075g	48.43616	2-Oxocarboxylic acid metabolism // Biosynthesis of amino acids // Biosynthesis of antibiotics // Lysine biosynthesis // Pyruvate metabolism // 2-Oxocarboxylic acid metabolism // Biosynthesis of amino acids // Biosynthesis of antibiotics // Lysine biosynthesis // Pyruvate metabolism	NA
Q6BZP5	YALI0F31999g	YALI0F31999g	63.00452	Biosynthesis of secondary metabolites // Carbon metabolism // Glyoxylate and dicarboxylate metabolism // Biosynthesis of secondary metabolites // Carbon metabolism // Glyoxylate and dicarboxylate metabolism	NA
Q6BZQ3	YALI0_F31735g	YALI0F31735g	100.99201	Glutathione metabolism // Purine metabolism // Pyrimidine metabolism // Glutathione metabolism // Purine metabolism // Pyrimidine metabolism // Glutathione metabolism // Purine metabolism // Pyrimidine metabolism // Glutathione metabolism // Purine metabolism // Pyrimidine metabolism // Glutathione metabolism // Purine metabolism // Pyrimidine metabolism // Glutathione metabolism // Purine metabolism // Pyrimidine metabolism // Pyrimidine metabolism // Pyrimidine metabolism	NA
Q6BZS4	YALI0_F31273g	YALI0F31273g	24.06466	Pyrimidine metabolism	OG0000633
Q6BZT7	YALI0_F30987g	YALI0F30987g	55.81989	Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Glyoxylate and dicarboxylate metabolism // Longevity regulating pathway - multiple species // MAPK signaling pathway - yeast // Peroxisome // Tryptophan metabolism // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Glyoxylate and dicarboxylate metabolism // Longevity regulating pathway - multiple species // MAPK signaling pathway - yeast // Peroxisome // Tryptophan metabolism	NA
Q6BZU4	YALI0_F30833g	YALI0F30833g	32.04909	Amino sugar and nucleotide sugar metabolism	NA
Q6BZU5	YALI0_F30811g	YALI0F30811g	36.4741	 	OG0002144
Q6BZU8	YALI0_F30745g	YALI0F30745g	108.67239	One carbon pool by folate // One carbon pool by folate // One carbon pool by folate // One carbon pool by folate // One carbon pool by folate // One carbon pool by folate // One carbon pool by folate // One carbon pool by folate // One carbon pool by folate // One carbon pool by folate // One carbon pool by folate // One carbon pool by folate	NA
Q6BZV1	YALI0_F30679g	YALI0F30679g	43.685	Biotin metabolism // Fatty acid biosynthesis // Fatty acid metabolism // Oxidative phosphorylation // Biotin metabolism // Fatty acid biosynthesis // Fatty acid metabolism // Oxidative phosphorylation // Biotin metabolism // Fatty acid biosynthesis // Fatty acid metabolism // Oxidative phosphorylation // Biotin metabolism // Fatty acid biosynthesis // Fatty acid metabolism // Oxidative phosphorylation // Biotin metabolism // Fatty acid biosynthesis // Fatty acid metabolism // Oxidative phosphorylation // Biotin metabolism // Fatty acid biosynthesis // Fatty acid metabolism // Oxidative phosphorylation	OG0003361
Q6BZW0	YALI0_F30481g	YALI0F30481g	48.96973	Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Butanoate metabolism // Synthesis and degradation of ketone bodies // Terpenoid backbone biosynthesis // Valine, leucine and isoleucine degradation // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Butanoate metabolism // Synthesis and degradation of ketone bodies // Terpenoid backbone biosynthesis // Valine, leucine and isoleucine degradation	NA
Q6BZW6	YALI0_F30349g	YALI0F30349g	36.87911	Purine metabolism	NA
Q6BZX6	YALI0_F30129g	YALI0F30129g	31.89228	Biosynthesis of secondary metabolites // Nicotinate and nicotinamide metabolism // Purine metabolism // Pyrimidine metabolism // Biosynthesis of secondary metabolites // Nicotinate and nicotinamide metabolism // Purine metabolism // Pyrimidine metabolism // Biosynthesis of secondary metabolites // Nicotinate and nicotinamide metabolism // Purine metabolism // Pyrimidine metabolism // Nicotinate and nicotinamide metabolism // Biosynthesis of secondary metabolites // Nicotinate and nicotinamide metabolism // Purine metabolism // Pyrimidine metabolism // Biosynthesis of secondary metabolites // Nicotinate and nicotinamide metabolism // Purine metabolism // Pyrimidine metabolism // Biosynthesis of secondary metabolites // Nicotinate and nicotinamide metabolism // Purine metabolism // Pyrimidine metabolism // Nicotinate and nicotinamide metabolism	OG0003407
Q6BZY1	YALI0_F30019g	YALI0F30019g	141.74989	Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Purine metabolism	OG0002482
Q6BZY3	YALI0_F29975g	YALI0F29975g	27.05277	Biosynthesis of antibiotics // Biosynthesis of unsaturated fatty acids // Biotin metabolism // Fatty acid biosynthesis // Fatty acid metabolism // Biosynthesis of antibiotics // Biosynthesis of unsaturated fatty acids // Biotin metabolism // Fatty acid biosynthesis // Fatty acid metabolism // Biosynthesis of antibiotics // Biosynthesis of unsaturated fatty acids // Biotin metabolism // Fatty acid biosynthesis // Fatty acid metabolism	NA
Q6BZY8	YALI0_F29843g	YALI0F29843g	83.50531	Aminoacyl-tRNA biosynthesis // Selenocompound metabolism	OG0000776
Q6BZZ9	YALI0_F29337g	YALI0F29337g	47.21749	2-Oxocarboxylic acid metabolism // Alanine, aspartate and glutamate metabolism // Arginine and proline metabolism // Arginine biosynthesis // Biosynthesis of amino acids // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Cysteine and methionine metabolism // Phenylalanine metabolism // Phenylalanine, tyrosine and tryptophan biosynthesis // Tyrosine metabolism // 2-Oxocarboxylic acid metabolism // Alanine, aspartate and glutamate metabolism // Arginine and proline metabolism // Arginine biosynthesis // Biosynthesis of amino acids // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Cysteine and methionine metabolism // Phenylalanine metabolism // Phenylalanine, tyrosine and tryptophan biosynthesis // Tyrosine metabolism // 2-Oxocarboxylic acid metabolism // Alanine, aspartate and glutamate metabolism // Arginine and proline metabolism // Arginine biosynthesis // Biosynthesis of amino acids // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Cysteine and methionine metabolism // Phenylalanine metabolism // Phenylalanine, tyrosine and tryptophan biosynthesis // Tyrosine metabolism // 2-Oxocarboxylic acid metabolism // Alanine, aspartate and glutamate metabolism // Arginine and proline metabolism // Arginine biosynthesis // Biosynthesis of amino acids // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Cysteine and methionine metabolism // Phenylalanine metabolism // Phenylalanine, tyrosine and tryptophan biosynthesis // Tyrosine metabolism // 2-Oxocarboxylic acid metabolism // Alanine, aspartate and glutamate metabolism // Arginine and proline metabolism // Arginine biosynthesis // Biosynthesis of amino acids // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Cysteine and methionine metabolism // Phenylalanine metabolism // Phenylalanine, tyrosine and tryptophan biosynthesis // Tyrosine metabolism // 2-Oxocarboxylic acid metabolism // Alanine, aspartate and glutamate metabolism // Arginine and proline metabolism // Arginine biosynthesis // Biosynthesis of amino acids // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Cysteine and methionine metabolism // Phenylalanine metabolism // Phenylalanine, tyrosine and tryptophan biosynthesis // Tyrosine metabolism // 2-Oxocarboxylic acid metabolism // Alanine, aspartate and glutamate metabolism // Arginine and proline metabolism // Arginine biosynthesis // Biosynthesis of amino acids // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Cysteine and methionine metabolism // Phenylalanine metabolism // Phenylalanine, tyrosine and tryptophan biosynthesis // Tyrosine metabolism // 2-Oxocarboxylic acid metabolism // Alanine, aspartate and glutamate metabolism // Arginine and proline metabolism // Arginine biosynthesis // Biosynthesis of amino acids // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Cysteine and methionine metabolism // Phenylalanine metabolism // Phenylalanine, tyrosine and tryptophan biosynthesis // Tyrosine metabolism // 2-Oxocarboxylic acid metabolism // Alanine, aspartate and glutamate metabolism // Arginine and proline metabolism // Arginine biosynthesis // Biosynthesis of amino acids // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Cysteine and methionine metabolism // Phenylalanine metabolism // Phenylalanine, tyrosine and tryptophan biosynthesis // Tyrosine metabolism	OG0002015
Q6C009	YALI0_F28765g	YALI0F28765g	40.01402	Carbon metabolism // Glyoxylate and dicarboxylate metabolism	NA
Q6C012	YALI0_F28655g	YALI0F28655g	194.77902	Amino sugar and nucleotide sugar metabolism	NA
Q6C045	YALI0_F27885g	YALI0F27885g	91.12929	Fructose and mannose metabolism	NA
Q6C055	YALI0_F27665g	YALI0F27665g	35.93117	Biosynthesis of antibiotics // Sulfur metabolism // Sulfur metabolism	OG0002857
Q6C071	YALI0_F27313g	YALI0F27313g	28.72961	Biosynthesis of secondary metabolites // Ubiquinone and other terpenoid-quinone biosynthesis // Biosynthesis of secondary metabolites // Ubiquinone and other terpenoid-quinone biosynthesis // Biosynthesis of secondary metabolites // Ubiquinone and other terpenoid-quinone biosynthesis // Biosynthesis of secondary metabolites // Ubiquinone and other terpenoid-quinone biosynthesis // Biosynthesis of secondary metabolites // Ubiquinone and other terpenoid-quinone biosynthesis	OG0002501
Q6C074	COQ4	YALI0F27247g	30.31296	Biosynthesis of secondary metabolites // Ubiquinone and other terpenoid-quinone biosynthesis // Biosynthesis of secondary metabolites // Ubiquinone and other terpenoid-quinone biosynthesis // Biosynthesis of secondary metabolites // Ubiquinone and other terpenoid-quinone biosynthesis // Biosynthesis of secondary metabolites // Ubiquinone and other terpenoid-quinone biosynthesis // Biosynthesis of secondary metabolites // Ubiquinone and other terpenoid-quinone biosynthesis	NA
Q6C090	YALI0_F26785g	YALI0F26785g	31.48897	Nicotinate and nicotinamide metabolism // Nicotinate and nicotinamide metabolism //   //  	NA
Q6C097	HEM3	YALI0F26609g	36.94623	Biosynthesis of secondary metabolites // Porphyrin and chlorophyll metabolism	NA
Q6C098	YALI0_F26587g	YALI0F26587g	54.65193	Synthesis and degradation of ketone bodies // Synthesis and degradation of ketone bodies	NA
Q6C0A1	ADK2	YALI0F26521g	25.48998	Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Purine metabolism // Thiamine metabolism // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Purine metabolism // Thiamine metabolism // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Purine metabolism // Thiamine metabolism	OG0001692
Q6C0A4	YALI0_F26455g	YALI0F26455g	58.65083	Tryptophan metabolism	NA
Q6C0A5	YALI0_F26433g	YALI0F26433g	72.68923	Aminoacyl-tRNA biosynthesis	OG0000592
Q6C0B4	YALI0_F26191g	YALI0F26191g	54.89896	Alanine, aspartate and glutamate metabolism // Butanoate metabolism // Lysine degradation // Nicotinate and nicotinamide metabolism // Tyrosine metabolism	OG0002950
Q6C0B7	YALI0_F26125g	YALI0F26125g	23.76393	Purine metabolism	OG0003189
Q6C0C8	YALI0_F25817g	YALI0F25817g	58.961	Other types of O-glycan biosynthesis // Various types of N-glycan biosynthesis	NA
Q6C0D6	YALI0_F25641g	YALI0F25641g	38.05003	Biosynthesis of secondary metabolites // Cysteine and methionine metabolism	NA
Q6C0G0	YALI0_F25047g	YALI0F25047g	35.83315	Biosynthesis of amino acids // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Pentose phosphate pathway // Purine metabolism	NA
Q6C0G5	YALI0_F24937g	YALI0F24937g	37.25004	MAPK signaling pathway - yeast // Pentose and glucuronate interconversions // Propanoate metabolism // Pyruvate metabolism	NA
Q6C0G7	YALI0_F24893g	YALI0F24893g	74.0953	Biosynthesis of amino acids // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Glycine, serine and threonine metabolism // Phenylalanine, tyrosine and tryptophan biosynthesis	OG0001057
Q6C0H4	YALI0_F24673g	YALI0F24673g	15.77327	Oxidative phosphorylation // Sulfur metabolism	OG0002595
Q6C0I1	YALI0_F24475g	YALI0F24475g	16.55055	Oxidative phosphorylation // Phagosome // Oxidative phosphorylation // Phagosome	OG0000647
Q6C0K3	YALI0_F23947g	YALI0F23947g	40.96527	Amino sugar and nucleotide sugar metabolism // Galactose metabolism // Amino sugar and nucleotide sugar metabolism // Galactose metabolism // Amino sugar and nucleotide sugar metabolism // Galactose metabolism	OG0001223
Q6C0K8	YALI0_F23837g	YALI0F23837g	33.03776	Glycerophospholipid metabolism	OG0002710
Q6C0L1	YALI0_F23749g	YALI0F23749g	45.34382	Lysine degradation	NA
Q6C0L2	COX10	YALI0F23727g	51.18671	Biosynthesis of secondary metabolites // Oxidative phosphorylation // Porphyrin and chlorophyll metabolism	NA
Q6C0L8	YALI0_F23573g	YALI0F23573g	147.13372	Inositol phosphate metabolism // Inositol phosphate metabolism	OG0002396
Q6C0M3	YALI0_F23463g	YALI0F23463g	37.68746	Purine metabolism	OG0002765
Q6C0M4	HER2	YALI0F23441g	49.96925	Aminoacyl-tRNA biosynthesis	NA
